barcode,n_processed_fastq,sample_id
barcode01,22,3D7
barcode02,22,Dd2
barcode03,22,HB3
barcode04,22,IPC3663
barcode05,22,Human
barcode06,22,NTC
barcode07,22,5053815
barcode08,22,8012209
barcode09,22,8012710
barcode10,22,8012713
barcode11,22,8012714
barcode12,22,8012717
barcode13,22,8012718
barcode14,22,8012719
barcode15,22,8012720
barcode16,22,8012721
barcode17,22,8012724
barcode18,22,8012725
barcode19,22,8012728
barcode20,22,8012729
barcode21,22,8012730
barcode22,22,8012731
barcode23,22,8012732
barcode24,22,8012733
barcode25,22,8012736
barcode26,22,8012737
barcode27,22,8012738
barcode28,22,8012739
barcode29,22,8012740
barcode30,22,8032413
barcode31,22,8032484
barcode32,22,8036113
barcode33,22,8036125
barcode34,22,8036126
barcode35,22,8036127
barcode36,22,8036131
barcode37,22,8036133
barcode38,22,8036138
barcode39,22,8036139
barcode40,22,8036141
barcode41,22,8036151
barcode42,22,8036158
barcode43,22,8036160
barcode44,22,8036164
barcode45,22,8036166
barcode46,22,8036182
barcode47,22,8036188
barcode48,22,8036189
barcode49,22,8036190
barcode50,22,8036195
barcode51,22,8036204
barcode52,22,8010859
barcode53,22,8010860
barcode54,22,8010861
barcode55,22,8010862
barcode56,22,8010863
barcode57,22,8010864
barcode58,22,8010866
barcode59,22,8010867
barcode60,22,8010868
barcode61,22,8010869
barcode62,22,8010870
barcode63,22,8010871
barcode64,22,8010872
unclassified,22,unclassified
