n_total,n_mapped,n_primary,n_secondary,n_supplementary,n_unmapped,barcode,sample_id
87816,80893,77658,1453,1782,6923,barcode01,3D7
50821,42982,40827,1242,913,7839,barcode02,Dd2
57623,53723,51973,687,1063,3900,barcode03,HB3
49567,46604,44011,1300,1293,2963,barcode04,IPC3663
8828,41,23,11,7,8787,barcode05,Human
106,9,9,0,0,97,barcode06,NTC
63278,58993,56616,1423,954,4285,barcode07,8010873
39908,38632,37120,925,587,1276,barcode08,8010874
83766,79132,75534,1464,2134,4634,barcode09,8010875
2457,2070,1969,75,26,387,barcode10,8010876
97528,94286,90740,1479,2067,3242,barcode11,8010877
381,262,245,17,0,119,barcode12,8010878
65525,62089,59742,1129,1218,3436,barcode13,8010880
53297,51293,49278,804,1211,2004,barcode14,8010881
27256,24324,23266,668,390,2932,barcode15,8010882
3784,3077,3007,43,27,707,barcode16,8010883
58696,55757,51503,830,3424,2939,barcode17,8010884
21235,20362,19722,307,333,873,barcode18,8010885
45381,42036,40147,637,1252,3345,barcode19,8010887
9465,8414,7852,384,178,1051,barcode20,8010888
39802,37850,36537,731,582,1952,barcode21,8010890
57095,52979,50992,882,1105,4116,barcode22,8010891
32872,31487,30164,620,703,1385,barcode23,8010894
44046,41026,38969,1057,1000,3020,barcode24,8010896
100484,97011,93754,1886,1371,3473,barcode25,8010897
77650,74178,71317,1425,1436,3472,barcode26,8010899
56071,54375,51026,1364,1985,1696,barcode27,8010900
121583,117411,113794,2000,1617,4172,barcode28,8010901
7083,4038,3715,300,23,3045,barcode29,8010903
120958,115782,110912,2685,2185,5176,barcode30,8010904
26754,25667,24648,495,524,1087,barcode31,8010905
38424,36523,34853,983,687,1901,barcode32,8010906
53836,52048,50164,995,889,1788,barcode33,8010907
64591,59354,57081,1587,686,5237,barcode34,8010908
50290,48022,46048,1374,600,2268,barcode35,8010910
17459,14193,13505,340,348,3266,barcode36,8010911
57058,55469,53579,1063,827,1589,barcode37,8010912
17495,15018,14271,530,217,2477,barcode38,8010913
60703,57894,55705,1188,1001,2809,barcode39,8010914
68870,66108,63685,1286,1137,2762,barcode40,8010915
83370,80343,77609,1406,1328,3027,barcode41,8010917
65777,63244,60871,1287,1086,2533,barcode42,8010919
65137,62346,59969,1230,1147,2791,barcode43,8010920
36843,34586,32903,1231,452,2257,barcode44,8010922
107433,102877,99263,1889,1725,4556,barcode45,8010923
102324,99003,95457,1861,1685,3321,barcode46,8010924
63889,61359,59186,1149,1024,2530,barcode47,8010927
36305,29454,27913,1143,398,6851,barcode48,8010929
62059,59616,57100,1364,1152,2443,barcode49,8010930
94580,90940,87213,2357,1370,3640,barcode50,8010932
82103,78188,75094,1992,1102,3915,barcode51,8010936
82391,80086,75058,4102,926,2305,barcode52,8013352
82188,76545,72606,2812,1127,5643,barcode53,8013353
3158,2118,2000,103,15,1040,barcode54,8013356
86960,83295,80268,2001,1026,3665,barcode55,8013358
44966,43298,41686,690,922,1668,barcode56,8013361
74579,70697,67919,1343,1435,3882,barcode57,8013362
36291,34562,33219,627,716,1729,barcode58,8013366
73902,70408,67512,1349,1547,3494,barcode59,8013367
101162,95973,92059,1669,2245,5189,barcode60,8013369
83199,79166,76282,1497,1387,4033,barcode61,8013372
1048,606,578,22,6,442,barcode62,8013374
79807,75407,72446,1521,1440,4400,barcode63,8013375
72740,67210,64398,1129,1683,5530,barcode64,8013377
81259,77619,74474,1474,1671,3640,barcode65,8013381
51316,49464,47684,767,1013,1852,barcode66,8013387
99492,92758,88616,1848,2294,6734,barcode67,8013401
115314,107369,102365,2698,2306,7945,barcode68,8013404
89050,84248,81173,1941,1134,4802,barcode69,8023053
14621,13391,12814,308,269,1230,barcode70,8023067
39652,38061,36554,589,918,1591,barcode71,8023076
25848,24054,23142,367,545,1794,barcode72,8023082
49404,45359,42526,2294,539,4045,barcode73,8023087
66656,64384,61489,1364,1531,2272,barcode74,8023089
84519,80809,77252,1533,2024,3710,barcode75,8023099
86861,83481,80443,1325,1713,3380,barcode76,8023105
22608,21385,20590,343,452,1223,barcode77,8023108
43121,40183,38904,462,817,2938,barcode78,8023113
168,54,54,0,0,114,barcode79,8023132
22188,20531,19839,398,294,1657,barcode80,8023139
35375,34170,32758,663,749,1205,barcode81,8023540
62059,59576,56786,1362,1428,2483,barcode82,8023543
306,53,52,0,1,253,barcode83,8023544
80658,77673,74187,1714,1772,2985,barcode84,8023546
60408,55984,53193,1354,1437,4424,barcode85,8023548
30585,28100,26842,597,661,2485,barcode86,8023549
44369,41846,40028,774,1044,2523,barcode87,8023553
62563,60178,58248,728,1202,2385,barcode88,8023555
105795,100263,96029,2048,2186,5532,barcode89,8023559
22999,18414,17543,685,186,4585,barcode90,8023561
65572,62406,60253,990,1163,3166,barcode91,8023567
146363,142210,137380,2592,2238,4153,barcode92,8023568
100471,97081,93587,1467,2027,3390,barcode93,8023569
75575,71719,68667,1238,1814,3856,barcode94,8023570
37395,35940,34379,636,925,1455,barcode95,8023571
60212,56966,54302,1008,1656,3246,barcode96,8023572
310883,287456,273622,6927,6907,23427,unclassified,unclassified
