sample_id,sample_type,barcode,post_pcr_dna_conc_ngul
3D7,Positive,barcode01,55.2
Dd2,Positive,barcode02,18.5
HB3,Positive,barcode03,90.4
IPC3663,Positive,barcode04,54.2
Human,Negative,barcode05,1.72
NTC,Negative,barcode06,0.0408
8023573,Field,barcode07,40.2
8023574,Field,barcode08,68.0
8023575,Field,barcode09,35.6
8023576,Field,barcode10,37.6
8023577,Field,barcode11,67.0
8023578,Field,barcode12,78.8
8023580,Field,barcode13,12.7
8023582,Field,barcode14,66.6
8023583,Field,barcode15,61.2
8023584,Field,barcode16,42.0
8023588,Field,barcode17,47.0
8023589,Field,barcode18,32.2
8023590,Field,barcode19,65.4
8023592,Field,barcode20,75.6
8023593,Field,barcode21,44.6
8023594,Field,barcode22,4.42
8023600,Field,barcode23,73.0
8023603,Field,barcode24,43.6
8023606,Field,barcode25,14.4
8023607,Field,barcode26,40.8
8023615,Field,barcode27,29.4
8023616,Field,barcode28,37.0
8023620,Field,barcode29,37.4
8023623,Field,barcode30,41.6
8023624,Field,barcode31,60.6
8023625,Field,barcode32,47.2
8023632,Field,barcode33,12.9
8023634,Field,barcode34,27.8
8011339,Field,barcode35,41.0
8011343,Field,barcode36,42.2
8011346,Field,barcode37,65.4
8011353,Field,barcode38,43.4
8011356,Field,barcode39,5.28
8011358,Field,barcode40,82.4
8011379,Field,barcode41,55.8
8011381,Field,barcode42,37.0
8011386,Field,barcode43,65.2
8011393,Field,barcode44,59.0
8011406,Field,barcode45,35.4
8011407,Field,barcode46,1.1
8011408,Field,barcode47,1.54
8011410,Field,barcode48,35.8
8011411,Field,barcode49,19.5
8011415,Field,barcode50,22.4
8011421,Field,barcode51,27.8
8011422,Field,barcode52,48.8
8011423,Field,barcode53,48.6
8011425,Field,barcode54,50.2
8011441,Field,barcode55,57.4
8011443,Field,barcode56,78.2
8011451,Field,barcode57,59.4
8031927,Field,barcode58,59.6
8031932,Field,barcode59,35.4
8032068,Field,barcode60,18.3
8032070,Field,barcode61,21.2
8032071,Field,barcode62,12.7
8032074,Field,barcode63,33.6
8032076,Field,barcode64,28.4
8032077,Field,barcode65,20.2
8032080,Field,barcode66,5.36
8032083,Field,barcode67,20.8
8032084,Field,barcode68,27.0
8032085,Field,barcode69,34.4
8032088,Field,barcode70,28.8
8032091,Field,barcode71,39.8
8032093,Field,barcode72,36.8
8032095,Field,barcode73,56.6
8032096,Field,barcode74,40.0
8032098,Field,barcode75,46.8
8032099,Field,barcode76,57.6
8032102,Field,barcode77,76.0
8032107,Field,barcode78,54.2
8032112,Field,barcode79,63.0
8032113,Field,barcode80,56.4
8032116,Field,barcode81,78.6
8032119,Field,barcode82,76.2
8032123,Field,barcode83,53.0
8032126,Field,barcode84,53.2
8032127,Field,barcode85,51.4
8032139,Field,barcode86,42.6
8032143,Field,barcode87,63.8
8032148,Field,barcode88,56.2
8032150,Field,barcode89,58.0
8032151,Field,barcode90,49.4
8032158,Field,barcode91,40.6
4043389,Field,barcode92,38.8
4043436,Field,barcode93,44.8
4043465,Field,barcode94,60.0
4043466,Field,barcode95,53.2
4043467,Field,barcode96,45.6
