n_total,n_mapped,n_primary,n_secondary,n_supplementary,n_unmapped,barcode,sample_id
28886,25713,24763,355,595,3173,barcode01,3D7
6161,4890,4664,111,115,1271,barcode02,Dd2
1282,1084,1048,10,26,198,barcode03,HB3
1978,1832,1729,48,55,146,barcode04,IPC3663
1440,12,7,4,1,1428,barcode05,Human
26,3,3,0,0,23,barcode06,NTC
20593,17940,17235,449,256,2653,barcode07,8023573
3570,3302,3187,46,69,268,barcode08,8023574
24765,22116,21042,535,539,2649,barcode09,8023575
26223,24546,23507,593,446,1677,barcode10,8023576
4973,4563,4352,67,144,410,barcode11,8023577
35212,33702,32519,577,606,1510,barcode12,8023578
19245,17262,16337,523,402,1983,barcode13,8023580
10916,10077,9541,167,369,839,barcode14,8023582
7695,6914,6542,148,224,781,barcode15,8023583
8853,8277,7948,105,224,576,barcode16,8023584
45178,42080,40080,743,1257,3098,barcode17,8023588
37352,35458,33963,570,925,1894,barcode18,8023589
7236,6129,5956,35,138,1107,barcode19,8023590
2730,2442,2339,33,70,288,barcode20,8023592
11190,9886,9536,143,207,1304,barcode21,8023593
709,423,411,0,12,286,barcode22,8023594
22871,21223,20226,358,639,1648,barcode23,8023600
1892,1716,1613,26,77,176,barcode24,8023603
21242,18606,17555,772,279,2636,barcode25,8023606
33790,31078,29870,664,544,2712,barcode26,8023607
12467,11683,11188,322,173,784,barcode27,8023615
18739,17330,16659,343,328,1409,barcode28,8023616
2589,2289,2208,45,36,300,barcode29,8023620
5336,4714,4557,72,85,622,barcode30,8023623
14746,14027,13487,278,262,719,barcode31,8023624
5672,5117,4898,104,115,555,barcode32,8023625
2929,2583,2510,22,51,346,barcode33,8023632
6791,5945,5725,70,150,846,barcode34,8023634
690,620,584,22,14,70,barcode35,8011339
1985,1702,1646,17,39,283,barcode36,8011343
17771,16860,16115,231,514,911,barcode37,8011346
485,440,425,5,10,45,barcode38,8011353
4273,3633,3429,132,72,640,barcode39,8011356
3422,3168,3075,20,73,254,barcode40,8011358
30816,28868,27601,498,769,1948,barcode41,8011379
51133,47463,45245,1173,1045,3670,barcode42,8011381
47479,45105,43473,709,923,2374,barcode43,8011386
47695,44527,42624,921,982,3168,barcode44,8011393
39151,35115,33580,859,676,4036,barcode45,8011406
651,446,425,17,4,205,barcode46,8011407
1197,853,816,32,5,344,barcode47,8011408
5099,4276,4111,72,93,823,barcode48,8011410
30365,27377,25903,618,856,2988,barcode49,8011411
49252,46281,44261,1050,970,2971,barcode50,8011415
42033,37478,35845,703,930,4555,barcode51,8011421
51529,48919,46880,812,1227,2610,barcode52,8011422
34922,32299,31027,707,565,2623,barcode53,8011423
9829,8942,8644,141,157,887,barcode54,8011425
19343,18345,17425,281,639,998,barcode55,8011441
6570,6131,5831,136,164,439,barcode56,8011443
41677,39985,38316,656,1013,1692,barcode57,8011451
22468,20526,19540,421,565,1942,barcode58,8031927
21370,19824,19314,251,259,1546,barcode59,8031932
62290,56318,53852,1280,1186,5972,barcode60,8032068
27158,22619,21629,533,457,4539,barcode61,8032070
19447,17146,16407,304,435,2301,barcode62,8032071
43217,39946,38542,762,642,3271,barcode63,8032074
13759,12092,11614,226,252,1667,barcode64,8032076
44997,40089,38586,696,807,4908,barcode65,8032077
26193,23101,22149,594,358,3092,barcode66,8032080
61652,56355,54109,834,1412,5297,barcode67,8032083
102436,96320,92062,1556,2702,6116,barcode68,8032084
87327,82468,79221,1039,2208,4859,barcode69,8032085
73998,70026,67237,897,1892,3972,barcode70,8032088
65892,62168,59807,704,1657,3724,barcode71,8032091
55345,52103,49871,507,1725,3242,barcode72,8032093
51951,48110,45997,1181,932,3841,barcode73,8032095
44165,41825,40160,630,1035,2340,barcode74,8032096
65919,58716,56082,1139,1495,7203,barcode75,8032098
60867,55475,52898,1330,1247,5392,barcode76,8032099
60251,57406,55247,1171,988,2845,barcode77,8032102
62919,59409,56866,1005,1538,3510,barcode78,8032107
72847,69698,66570,1389,1739,3149,barcode79,8032112
45714,42986,41119,783,1084,2728,barcode80,8032113
42815,40256,38773,840,643,2559,barcode81,8032116
74510,70303,67411,1741,1151,4207,barcode82,8032119
75724,71033,68201,1325,1507,4691,barcode83,8032123
61362,57030,54931,850,1249,4332,barcode84,8032126
67893,63753,61620,823,1310,4140,barcode85,8032127
42515,39459,38646,486,327,3056,barcode86,8032139
113970,109525,105605,1718,2202,4445,barcode87,8032143
103126,99458,96508,1138,1812,3668,barcode88,8032148
60414,55879,53476,1172,1231,4535,barcode89,8032150
61001,56593,54530,862,1201,4408,barcode90,8032151
76977,71774,68472,1003,2299,5203,barcode91,8032158
107438,99511,95498,2193,1820,7927,barcode92,4043389
87038,81429,78144,1920,1365,5609,barcode93,4043436
59954,53516,51524,989,1003,6438,barcode94,4043465
64451,60043,57710,1048,1285,4408,barcode95,4043466
57719,54619,52346,837,1436,3100,barcode96,4043467
219987,201384,192232,4034,5118,18603,unclassified,unclassified
