sample_id,sample_type,barcode,post_pcr_dna_conc_ngul
3D7,Positive,barcode01,5.78
3D7,Positive,barcode02,41.8
Dd2,Positive,barcode03,54.6
HB3,Positive,barcode04,66.2
Human,Negative,barcode05,3.34
NTC,Negative,barcode06,0.0674
8036218,Field,barcode07,61.8
8036219,Field,barcode08,77.4
8036220,Field,barcode09,24.4
8036221,Field,barcode10,24.4
8036222,Field,barcode11,70.4
8036223,Field,barcode12,20.4
8036224,Field,barcode13,1.43
8036225,Field,barcode14,3.6
8036226,Field,barcode15,0.614
8036227,Field,barcode16,62.2
8036228,Field,barcode17,74.0
8036229,Field,barcode18,39.6
8036230,Field,barcode19,18.5
8036231,Field,barcode20,49.8
8036232,Field,barcode21,42.2
8036233,Field,barcode22,56.6
8036234,Field,barcode23,23.4
8036238,Field,barcode24,62.0
8036239,Field,barcode25,17.2
8036240,Field,barcode26,17.1
8036243,Field,barcode27,30.6
8036246,Field,barcode28,13.6
8036249,Field,barcode29,5.54
8036253,Field,barcode30,13.8
