n_total,n_mapped,n_primary,n_secondary,n_supplementary,n_unmapped,barcode,sample_id
46980,45202,44562,268,372,1778,barcode01,3D7
49695,47612,46913,273,426,2083,barcode02,3D7
64756,61766,60946,240,580,2990,barcode03,Dd2
62014,60953,60103,219,631,1061,barcode04,HB3
15034,18,16,2,0,15016,barcode05,Human
333,20,19,0,1,313,barcode06,NTC
115911,113580,111367,1053,1160,2331,barcode07,8036218
70097,69053,67862,549,642,1044,barcode08,8036219
70709,66963,65796,615,552,3746,barcode09,8036220
58531,56698,55724,545,429,1833,barcode10,8036221
118033,114533,111636,1745,1152,3500,barcode11,8036222
50234,49177,48226,549,402,1057,barcode12,8036223
22795,1089,1074,11,4,21706,barcode13,8036224
37622,34008,33117,600,291,3614,barcode14,8036225
3819,19,18,1,0,3800,barcode15,8036226
111437,109440,107557,976,907,1997,barcode16,8036227
89541,86683,84924,779,980,2858,barcode17,8036228
43353,42004,41391,255,358,1349,barcode18,8036229
68963,64824,63727,636,461,4139,barcode19,8036230
70501,69260,67958,618,684,1241,barcode20,8036231
74019,71954,70459,584,911,2065,barcode21,8036232
94038,91048,88918,1056,1074,2990,barcode22,8036233
59686,57225,56098,582,545,2461,barcode23,8036234
95757,91659,89604,878,1177,4098,barcode24,8036238
83700,81044,79465,824,755,2656,barcode25,8036239
69424,66072,64790,725,557,3352,barcode26,8036240
77989,76628,74963,1004,661,1361,barcode27,8036243
105858,102726,100497,1259,970,3132,barcode28,8036246
62186,56845,55514,923,408,5341,barcode29,8036249
92311,89264,87245,1255,764,3047,barcode30,8036253
151956,142822,139227,1608,1987,9134,unclassified,unclassified
