barcode,n_processed_fastq
barcode01,93
barcode02,93
barcode03,93
barcode04,93
barcode05,92
barcode06,93
barcode07,93
barcode08,93
barcode09,93
barcode10,93
barcode11,93
barcode12,93
barcode13,93
barcode14,93
barcode15,93
barcode16,93
barcode17,93
barcode18,93
barcode19,93
barcode20,93
barcode21,93
barcode22,93
barcode23,93
barcode24,93
barcode25,93
barcode26,93
barcode27,93
barcode28,93
barcode29,93
barcode30,93
barcode31,93
barcode32,93
barcode33,93
barcode34,93
barcode35,93
barcode36,93
barcode37,93
barcode38,93
barcode39,93
barcode40,93
barcode41,93
barcode42,93
barcode43,93
barcode44,93
barcode45,93
barcode46,93
barcode47,93
barcode48,93
barcode49,93
barcode50,93
barcode51,93
barcode52,93
barcode53,93
barcode54,93
barcode55,93
barcode56,93
barcode57,93
barcode58,93
barcode59,93
barcode60,93
barcode61,93
barcode62,93
barcode63,93
barcode64,93
barcode65,93
barcode66,93
barcode67,93
barcode68,93
barcode69,93
barcode70,93
barcode71,93
barcode72,93
barcode73,93
barcode74,93
barcode75,93
barcode76,93
barcode77,93
barcode78,93
barcode79,93
barcode80,93
barcode81,93
barcode82,93
barcode83,93
barcode84,93
barcode85,93
barcode86,93
barcode87,93
barcode88,93
unclassified,93
