n_total,n_mapped,n_primary,n_secondary,n_supplementary,n_unmapped,barcode
151173,140616,135230,985,4401,10557,barcode41
155364,147402,141686,669,5047,7962,barcode42
132408,127545,123391,610,3544,4863,barcode43
52344,91,63,27,1,52253,barcode44
484,16,15,0,1,468,barcode45
147699,135573,129254,2777,3542,12126,barcode46
113379,105640,100672,1644,3324,7739,barcode47
133056,125913,120955,1630,3328,7143,barcode48
152465,126145,121927,2562,1656,26320,barcode49
215129,201972,192924,5931,3117,13157,barcode50
174648,160919,152440,4821,3658,13729,barcode51
178455,166874,160759,3501,2614,11581,barcode52
153281,139808,133630,1852,4326,13473,barcode53
82786,75466,73008,977,1481,7320,barcode54
154510,148575,142716,2906,2953,5935,barcode55
82252,76774,73490,1408,1876,5478,barcode56
166730,159250,153797,2239,3214,7480,barcode57
133432,125908,120673,2363,2872,7524,barcode58
137568,129651,125021,1835,2795,7917,barcode59
200395,190832,182234,1879,6719,9563,barcode60
179379,167024,160512,1948,4564,12355,barcode61
122577,114225,107200,1194,5831,8352,barcode62
226699,217580,209016,3016,5548,9119,barcode63
222453,208648,200150,2561,5937,13805,barcode64
180603,167422,162557,3062,1803,13181,barcode65
92186,79974,77473,1488,1013,12212,barcode66
99070,78305,75693,1684,928,20765,barcode67
192044,171146,165095,3087,2964,20898,barcode68
50037,46066,44410,516,1140,3971,barcode69
149129,136576,130707,2238,3631,12553,barcode70
6172,843,840,0,3,5329,barcode71
152452,140856,137068,2190,1598,11596,barcode72
162987,155704,151367,2359,1978,7283,barcode73
58563,11716,11149,516,51,46847,barcode74
251297,223355,213550,3846,5959,27942,unclassified
