barcode,n_processed_fastq,sample_id
barcode01,37,3D7
barcode02,37,3D7
barcode03,37,Dd2
barcode04,37,HB3
barcode05,37,Human
barcode06,36,NTC
barcode07,37,8036218
barcode08,37,8036219
barcode09,37,8036220
barcode10,37,8036221
barcode11,37,8036222
barcode12,37,8036223
barcode13,37,8036224
barcode14,37,8036225
barcode15,37,8036226
barcode16,37,8036227
barcode17,37,8036228
barcode18,37,8036229
barcode19,37,8036230
barcode20,37,8036231
barcode21,37,8036232
barcode22,37,8036233
barcode23,37,8036234
barcode24,37,8036238
barcode25,37,8036239
barcode26,37,8036240
barcode27,37,8036243
barcode28,37,8036246
barcode29,37,8036249
barcode30,37,8036253
unclassified,37,unclassified
