n_total,n_mapped,n_primary,n_secondary,n_supplementary,n_unmapped,barcode,sample_id
56959,49701,47208,1933,560,7258,barcode01,3D7
57271,53963,51664,824,1475,3308,barcode02,3D7
106757,97525,92446,2542,2537,9232,barcode03,Dd2
65752,61927,59784,819,1324,3825,barcode04,HB3
4141,13,10,2,1,4128,barcode05,Human
622,201,198,1,2,421,barcode06,NTC
105450,99763,94818,2242,2703,5687,barcode07,8036261
81510,78273,74886,1223,2164,3237,barcode08,8036263
97510,88140,83635,3041,1464,9370,barcode09,8036264
76266,72025,68166,2474,1385,4241,barcode10,8036265
137430,126965,122082,2507,2376,10465,barcode11,8036266
63594,61198,58459,1561,1178,2396,barcode12,8036267
120391,112164,106437,4052,1675,8227,barcode13,8036268
114357,106152,101424,2855,1873,8205,barcode14,8036269
90715,84113,80382,2191,1540,6602,barcode15,8036271
103541,99476,96871,751,1854,4065,barcode16,8036272
64543,60335,57689,1339,1307,4208,barcode17,8036273
40081,35628,33984,873,771,4453,barcode18,8036274
91359,84788,80668,2035,2085,6571,barcode19,8036275
78658,75472,72301,1681,1490,3186,barcode20,8036279
106975,99654,95839,1923,1892,7321,barcode21,8036280
95248,86443,82558,2591,1294,8805,barcode22,8036282
76800,72651,68746,1739,2166,4149,barcode23,8036283
98513,90546,86506,2292,1748,7967,barcode24,8036284
110711,101783,96120,3582,2081,8928,barcode25,8036285
69579,62274,59149,1763,1362,7305,barcode26,8036286
90920,87452,84062,1963,1427,3468,barcode27,8036287
117900,105181,96314,7968,899,12719,barcode28,8036218-D3
81032,74601,70406,3326,869,6431,barcode29,8036219-D3
63105,39170,35807,3137,226,23935,barcode30,8036220-D3
61495,55985,52210,3332,443,5510,barcode31,8036222-D3
60766,54580,52103,1943,534,6186,barcode32,8036223-D3
5340,223,215,6,2,5117,barcode33,8036226-D3
16733,10236,9484,663,89,6497,barcode34,8036227-D3
59454,52892,48814,3551,527,6562,barcode35,8036228-D3
13978,5328,5113,192,23,8650,barcode36,8036230-D3
15758,7622,6772,824,26,8136,barcode37,8036231-D3
10806,4788,4549,218,21,6018,barcode38,8036232-D3
5051,1833,1636,190,7,3218,barcode39,8036233-D3
48420,41317,38770,2213,334,7103,barcode40,8036234-D3
92231,80870,75435,4393,1042,11361,barcode41,8036238-D3
24802,21274,19228,1934,112,3528,barcode42,8036239-D3
20872,17016,15044,1925,47,3856,barcode43,8036240-D3
146562,135446,126336,7331,1779,11116,barcode44,8036243-D3
17484,347,310,30,7,17137,barcode45,8036246-D3
119723,111191,105841,3937,1413,8532,barcode46,8036288
120237,115355,110951,2570,1834,4882,barcode47,8036289
115019,109452,105311,2586,1555,5567,barcode48,8036290
76056,65459,60320,3959,1180,10597,barcode49,8036291
105789,98571,92922,3358,2291,7218,barcode50,8036292
145789,137383,130317,3474,3592,8406,barcode51,8036294
116379,110670,105245,3157,2268,5709,barcode52,8036295
98095,89380,82602,5396,1382,8715,barcode53,8036296
97327,89437,85603,1642,2192,7890,barcode54,8036297
167179,158654,151028,5264,2362,8525,barcode55,8036298
76510,69248,65844,2054,1350,7262,barcode56,8036301
70717,64613,61429,1560,1624,6104,barcode57,8036302
28064,25866,24765,545,556,2198,barcode58,8036303
131589,123206,117717,3580,1909,8383,barcode59,8036304
240009,209608,197925,7211,4472,30401,unclassified,unclassified
