barcode,n_processed_fastq
barcode01,90
barcode02,90
barcode03,90
barcode04,90
barcode05,90
barcode06,90
barcode07,90
barcode08,90
barcode09,90
barcode10,90
barcode11,90
barcode12,90
barcode13,90
barcode14,90
barcode15,90
barcode16,90
barcode17,90
barcode18,90
barcode19,90
barcode20,90
barcode21,90
barcode22,91
barcode23,91
barcode24,91
barcode25,91
barcode26,91
barcode27,91
barcode28,91
barcode29,91
barcode30,91
barcode31,91
barcode32,91
barcode33,91
barcode34,91
barcode35,91
barcode36,91
barcode37,91
barcode38,91
barcode39,91
barcode40,91
barcode41,91
barcode42,91
barcode43,92
barcode44,92
barcode45,92
barcode46,93
barcode47,93
barcode48,93
barcode49,93
barcode50,93
barcode51,93
barcode52,93
barcode53,93
barcode54,93
barcode55,93
barcode56,93
barcode57,93
barcode58,93
barcode59,93
barcode60,93
barcode61,93
barcode62,93
barcode63,93
barcode64,93
barcode65,93
barcode66,93
barcode67,93
barcode68,93
barcode69,93
barcode70,93
barcode71,93
barcode72,93
barcode73,93
barcode74,93
barcode75,93
barcode76,93
barcode77,93
barcode78,93
barcode79,93
barcode80,93
barcode81,93
barcode82,93
barcode83,93
barcode84,93
barcode85,93
barcode86,93
barcode87,93
barcode88,93
unclassified,93
