n_total,n_mapped,n_primary,n_secondary,n_supplementary,n_unmapped,barcode
88404,81548,79464,1128,956,6856,barcode01
46843,44041,43023,334,684,2802,barcode02
47176,43986,43048,421,517,3190,barcode03
11168,25,21,4,0,11143,barcode04
421,18,18,0,0,403,barcode05
42476,38852,37601,629,622,3624,barcode06
40686,35990,34864,498,628,4696,barcode07
40247,37603,36536,636,431,2644,barcode08
86318,78949,76293,1581,1075,7369,barcode09
35068,32314,31135,584,595,2754,barcode10
38502,34868,34136,335,397,3634,barcode11
24127,22874,22135,480,259,1253,barcode12
53371,48544,47192,882,470,4827,barcode13
59686,54277,52653,1040,584,5409,barcode14
34801,30026,28885,751,390,4775,barcode15
57730,54609,52991,1136,482,3121,barcode16
25734,22683,21878,579,226,3051,barcode17
29125,27194,26387,436,371,1931,barcode18
55824,49006,47397,1237,372,6818,barcode19
34677,32687,31659,531,497,1990,barcode20
46995,42700,41614,672,414,4295,barcode21
67640,62299,60826,533,940,5341,barcode22
17694,12441,12117,213,111,5253,barcode23
23607,21500,21089,131,280,2107,barcode24
86749,78634,74625,3287,722,8115,barcode25
43534,38437,36949,1170,318,5097,barcode26
45630,43037,42187,567,283,2593,barcode27
88813,83956,81334,1932,690,4857,barcode28
71278,68241,65873,1748,620,3037,barcode29
67556,63270,61172,1279,819,4286,barcode30
52001,48395,46812,1127,456,3606,barcode31
58275,54728,53341,896,491,3547,barcode32
24532,22991,22338,307,346,1541,barcode33
63535,60623,58974,1137,512,2912,barcode34
37561,35708,34635,651,422,1853,barcode35
49625,46558,45524,765,269,3067,barcode36
30896,28205,27692,316,197,2691,barcode37
86969,83251,80990,1635,626,3718,barcode38
43424,40280,39414,548,318,3144,barcode39
58618,55646,54127,846,673,2972,barcode40
67072,62394,60022,1565,807,4678,barcode41
75253,71638,69053,1762,823,3615,barcode42
55269,51860,50012,1362,486,3409,barcode43
90750,80848,78196,2059,593,9902,barcode44
126024,118468,115227,2414,827,7556,barcode45
32722,29898,28900,743,255,2824,barcode46
70688,65798,63566,1534,698,4890,barcode47
70016,66176,64491,923,762,3840,barcode48
58161,52094,50236,1350,508,6067,barcode49
26801,23224,22352,628,244,3577,barcode50
51714,45478,43937,986,555,6236,barcode51
25556,23011,22296,491,224,2545,barcode52
63358,57426,55504,1307,615,5932,barcode53
49231,44979,43858,759,362,4252,barcode54
95873,90388,87185,2264,939,5485,barcode55
26797,23447,23112,134,201,3350,barcode56
76910,71306,68850,1969,487,5604,barcode57
13647,12433,12064,210,159,1214,barcode58
60055,55792,54040,1163,589,4263,barcode59
82970,75346,72839,1546,961,7624,barcode60
50619,43326,42058,672,596,7293,barcode61
26202,24283,23569,280,434,1919,barcode62
66634,61750,59875,1147,728,4884,barcode63
9587,1293,1258,19,16,8294,barcode64
73616,69653,67496,1397,760,3963,barcode65
39081,36237,35091,677,469,2844,barcode66
58317,47592,45996,1015,581,10725,barcode67
96848,85950,83044,2032,874,10898,barcode68
82699,75862,73478,1531,853,6837,barcode69
51533,48556,47111,569,876,2977,barcode70
62637,57397,55865,969,563,5240,barcode71
50219,46282,44963,654,665,3937,barcode72
42815,39044,37871,773,400,3771,barcode73
22612,20707,19955,552,200,1905,barcode74
45393,36307,35182,774,351,9086,barcode75
47492,38111,36813,1021,277,9381,barcode76
62986,58929,56983,1550,396,4057,barcode77
63412,59420,57888,784,748,3992,barcode78
98793,94535,90913,2651,971,4258,barcode79
55473,53106,51629,785,692,2367,barcode80
50185,47954,46310,809,835,2231,barcode81
19226,15981,15516,174,291,3245,barcode82
61937,57756,55686,1133,937,4181,barcode83
44241,34823,33636,541,646,9418,barcode84
57307,49264,47650,978,636,8043,barcode85
31753,27833,27070,474,289,3920,barcode86
73373,61884,59302,1949,633,11489,barcode87
77463,72180,69968,777,1435,5283,barcode88
285397,255124,244788,5836,4500,30273,unclassified
