sample_id,sample_type,barcode,post_pcr_dna_conc_ngul
3D7,Positive,barcode01,21.8
Dd2,Positive,barcode02,14.0
HB3,Positive,barcode03,26.0
Human,Negative,barcode04,0.77
NTC,Negative,barcode05,0.0538
8036449,Field,barcode06,31.6
8036450,Field,barcode07,49.2
8036453,Field,barcode08,47.2
8036454,Field,barcode09,12.5
8033756,Field,barcode10,13.2
8036462,Field,barcode11,10.6
8036464,Field,barcode12,26.8
8036466,Field,barcode13,27.8
8033751,Field,barcode14,14.8
8033754,Field,barcode15,35.6
8033755,Field,barcode16,56.4
8033758,Field,barcode17,17.9
8033759,Field,barcode18,17.5
8033760,Field,barcode19,33.4
8033761,Field,barcode20,28.4
8033762,Field,barcode21,96.0
8033763,Field,barcode22,53.4
8036422,Field,barcode23,67.8
8036423,Field,barcode24,82.4
8036424,Field,barcode25,26.6
8036425,Field,barcode26,16.4
8036426,Field,barcode27,21.4
8036427,Field,barcode28,24.6
8036428,Field,barcode29,24.0
8033767,Field,barcode30,23.6
8033768,Field,barcode31,69.2
8033770,Field,barcode32,39.6
8033772,Field,barcode33,94.4
8033773,Field,barcode34,75.4
8033775,Field,barcode35,33.6
8033776,Field,barcode36,31.4
8033777,Field,barcode37,35.2
8033778,Field,barcode38,48.0
8033779,Field,barcode39,27.6
8033781,Field,barcode40,45.8
8033783,Field,barcode41,22.8
8033784,Field,barcode42,22.6
8033785,Field,barcode43,5.5
8033786,Field,barcode44,16.4
8033787,Field,barcode45,51.0
8033788,Field,barcode46,32.6
8036279-D3,Field,barcode47,9.88
8036294-D3,Field,barcode48,23.4
8036292-D3,Field,barcode49,20.2
8036324-D3,Field,barcode50,5.3
8036238-D3,Field,barcode51,48.8
8036339-D3,Field,barcode52,4.4
8036351-D3,Field,barcode53,5.42
8036356-D3,Field,barcode54,9.3
8036362-D3,Field,barcode55,9.24
8036388-D3,Field,barcode56,8.66
8036390-D3,Field,barcode57,13.7
8036404-D3,Field,barcode58,2.74
