barcode,chrom,start,length,end,mean_cov,name,cov_gr100_per,total_cov,cov_gr100,n_reads,sample_id
barcode01,Pf3D7_11_v3,1294074,826,1294900,2727.928571428572,ama1-p74-384,97.6997578692494,2253269,807,5849,3D7
barcode01,Pf3D7_13_v3,1724567,1286,1725853,3002.6298600311043,kelch13-p383-727,98.28926905132192,3861382,1264,6233,3D7
barcode02,Pf3D7_11_v3,1294074,826,1294900,2449.4176755447943,ama1-p74-384,97.3365617433414,2023219,804,4480,Dd2
barcode02,Pf3D7_13_v3,1724567,1286,1725853,2268.097200622084,kelch13-p383-727,98.21150855365474,2916773,1263,4485,Dd2
barcode03,Pf3D7_11_v3,1294074,826,1294900,1643.911622276029,ama1-p74-384,97.3365617433414,1357871,804,3521,HB3
barcode03,Pf3D7_13_v3,1724567,1286,1725853,2506.329704510109,kelch13-p383-727,98.28926905132192,3223140,1264,5071,HB3
barcode04,Pf3D7_11_v3,1294074,826,1294900,2790.5169491525426,ama1-p74-384,97.57869249394672,2304967,806,4859,IPC3445
barcode04,Pf3D7_13_v3,1724567,1286,1725853,3266.4821150855364,kelch13-p383-727,98.28926905132192,4200696,1264,5915,IPC3445
barcode05,Pf3D7_11_v3,1294074,826,1294900,0.585956416464891,ama1-p74-384,0.0,484,0,1,Human
barcode05,Pf3D7_13_v3,1724567,1286,1725853,0.0,kelch13-p383-727,0.0,0,0,0,Human
barcode06,Pf3D7_11_v3,1294074,826,1294900,177.8268765133172,ama1-p74-384,94.0677966101695,146885,777,438,NTC
barcode06,Pf3D7_13_v3,1724567,1286,1725853,1.5396578538102643,kelch13-p383-727,0.0,1980,0,3,NTC
barcode07,Pf3D7_11_v3,1294074,826,1294900,1915.8474576271187,ama1-p74-384,97.3365617433414,1582490,804,3409,8033172
barcode07,Pf3D7_13_v3,1724567,1286,1725853,3188.9370139968896,kelch13-p383-727,98.21150855365474,4100973,1263,6032,8033172
barcode08,Pf3D7_11_v3,1294074,826,1294900,1168.8680387409202,ama1-p74-384,97.21549636803874,965485,803,2080,8033173
