barcode,chrom,start,length,end,mean_cov,name,cov_gr100_per,total_cov,cov_gr100,n_reads,sample_id
barcode01,Pf3D7_11_v3,1294074,826,1294900,2101.117433414044,ama1-p74-384,97.3365617433414,1735523,804,3920,3D7
barcode01,Pf3D7_13_v3,1724567,1286,1725853,3199.9510108864697,kelch13-p383-727,98.36702954898912,4115137,1265,6392,3D7
barcode02,Pf3D7_11_v3,1294074,826,1294900,3366.716707021792,ama1-p74-384,97.57869249394672,2780908,806,5920,Dd2
barcode02,Pf3D7_13_v3,1724567,1286,1725853,1349.443234836703,kelch13-p383-727,98.21150855365474,1735384,1263,2525,Dd2
barcode03,Pf3D7_11_v3,1294074,826,1294900,2001.9225181598065,ama1-p74-384,97.3365617433414,1653588,804,3516,HB3
barcode03,Pf3D7_13_v3,1724567,1286,1725853,4849.692846034214,kelch13-p383-727,98.4447900466563,6236705,1266,9175,HB3
barcode04,Pf3D7_11_v3,1294074,826,1294900,3361.605326876513,ama1-p74-384,97.57869249394672,2776686,806,5485,IPC3663
barcode04,Pf3D7_13_v3,1724567,1286,1725853,3244.401244167963,kelch13-p383-727,98.28926905132192,4172300,1264,5780,IPC3663
barcode05,Pf3D7_11_v3,1294074,826,1294900,0.5472154963680388,ama1-p74-384,0.0,452,0,1,Human
barcode05,Pf3D7_13_v3,1724567,1286,1725853,0.0505443234836702,kelch13-p383-727,0.0,65,0,1,Human
barcode06,Pf3D7_11_v3,1294074,826,1294900,1.0702179176755449,ama1-p74-384,0.0,884,0,3,NTC
barcode06,Pf3D7_13_v3,1724567,1286,1725853,0.9043545878693624,kelch13-p383-727,0.0,1163,0,1,NTC
barcode07,Pf3D7_11_v3,1294074,826,1294900,4211.307506053269,ama1-p74-384,97.57869249394672,3478540,806,7781,01045795
barcode07,Pf3D7_13_v3,1724567,1286,1725853,3238.5147744945566,kelch13-p383-727,98.36702954898912,4164730,1265,5978,01045795
barcode08,Pf3D7_11_v3,1294074,826,1294900,1946.0121065375304,ama1-p74-384,97.45762711864408,1607406,805,3713,01045803
barcode08,Pf3D7_13_v3,1724567,1286,1725853,3234.93934681182,kelch13-p383-727,98.36702954898912,4160132,1265,6023,01045803
barcode09,Pf3D7_11_v3,1294074,826,1294900,1828.68401937046,ama1-p74-384,97.3365617433414,1510493,804,3420,01045804
barcode09,Pf3D7_13_v3,1724567,1286,1725853,1320.8646967340592,kelch13-p383-727,98.21150855365474,1698632,1263,2613,01045804
barcode10,Pf3D7_11_v3,1294074,826,1294900,1363.1380145278451,ama1-p74-384,97.3365617433414,1125952,804,2490,01045811
barcode10,Pf3D7_13_v3,1724567,1286,1725853,2023.9447900466564,kelch13-p383-727,98.28926905132192,2602793,1264,3990,01045811
barcode11,Pf3D7_11_v3,1294074,826,1294900,1301.191283292978,ama1-p74-384,97.3365617433414,1074784,804,2297,01045816
barcode11,Pf3D7_13_v3,1724567,1286,1725853,2877.652410575428,kelch13-p383-727,98.28926905132192,3700661,1264,5596,01045816
barcode12,Pf3D7_11_v3,1294074,826,1294900,981.8813559322034,ama1-p74-384,97.21549636803874,811034,803,1772,01045817
barcode12,Pf3D7_13_v3,1724567,1286,1725853,1964.125194401244,kelch13-p383-727,98.28926905132192,2525865,1264,3889,01045817
barcode13,Pf3D7_11_v3,1294074,826,1294900,1582.4297820823244,ama1-p74-384,97.3365617433414,1307087,804,2809,01045819
barcode13,Pf3D7_13_v3,1724567,1286,1725853,2770.9984447900465,kelch13-p383-727,98.28926905132192,3563504,1264,5155,01045819
barcode14,Pf3D7_11_v3,1294074,826,1294900,1179.31598062954,ama1-p74-384,97.3365617433414,974115,804,2107,8021370
barcode14,Pf3D7_13_v3,1724567,1286,1725853,2294.2021772939347,kelch13-p383-727,98.28926905132192,2950344,1264,4372,8021370
barcode15,Pf3D7_11_v3,1294074,826,1294900,2312.123486682809,ama1-p74-384,97.57869249394672,1909814,806,4437,8021373
barcode15,Pf3D7_13_v3,1724567,1286,1725853,1492.3312597200622,kelch13-p383-727,98.28926905132192,1919138,1264,2830,8021373
barcode16,Pf3D7_11_v3,1294074,826,1294900,3223.4418886198546,ama1-p74-384,97.57869249394672,2662563,806,5506,8021375
barcode16,Pf3D7_13_v3,1724567,1286,1725853,2160.405909797823,kelch13-p383-727,98.28926905132192,2778282,1264,4038,8021375
barcode17,Pf3D7_11_v3,1294074,826,1294900,1434.6198547215497,ama1-p74-384,97.3365617433414,1184996,804,2721,8021377
barcode17,Pf3D7_13_v3,1724567,1286,1725853,1766.069206842924,kelch13-p383-727,98.21150855365474,2271165,1263,3257,8021377
barcode18,Pf3D7_11_v3,1294074,826,1294900,2920.5823244552057,ama1-p74-384,97.57869249394672,2412401,806,5305,8021378
barcode18,Pf3D7_13_v3,1724567,1286,1725853,1580.590202177294,kelch13-p383-727,98.28926905132192,2032639,1264,3002,8021378
barcode19,Pf3D7_11_v3,1294074,826,1294900,2335.3462469733654,ama1-p74-384,97.45762711864408,1928996,805,4054,8021381
barcode19,Pf3D7_13_v3,1724567,1286,1725853,2168.4782270606534,kelch13-p383-727,98.28926905132192,2788663,1264,3954,8021381
barcode20,Pf3D7_11_v3,1294074,826,1294900,875.7627118644068,ama1-p74-384,97.21549636803874,723380,803,1565,8021387
barcode20,Pf3D7_13_v3,1724567,1286,1725853,1917.149300155521,kelch13-p383-727,98.28926905132192,2465454,1264,3594,8021387
