barcode,chrom,start,length,end,mean_cov,name,cov_gr100_per,total_cov,cov_gr100,n_reads,sample_id
barcode01,Pf3D7_11_v3,1294074,826,1294900,6365.013317191283,ama1-p74-384,97.6997578692494,5257501,807,11815,3D7
barcode01,Pf3D7_13_v3,1724567,1286,1725853,1641.5614307931571,kelch13-p383-727,98.21150855365474,2111048,1263,3531,3D7
barcode02,Pf3D7_11_v3,1294074,826,1294900,1194.134382566586,ama1-p74-384,97.45762711864408,986355,805,2119,Dd2
barcode02,Pf3D7_13_v3,1724567,1286,1725853,1436.703732503888,kelch13-p383-727,98.28926905132192,1847601,1264,2787,Dd2
barcode03,Pf3D7_11_v3,1294074,826,1294900,2338.9939467312347,ama1-p74-384,97.57869249394672,1932009,806,4390,HB3
barcode03,Pf3D7_13_v3,1724567,1286,1725853,2606.022550544324,kelch13-p383-727,98.28926905132192,3351345,1264,5550,HB3
barcode04,Pf3D7_11_v3,1294074,826,1294900,5042.193704600484,ama1-p74-384,97.6997578692494,4164852,807,8556,IPC3445
barcode04,Pf3D7_13_v3,1724567,1286,1725853,6431.612752721618,kelch13-p383-727,98.4447900466563,8271054,1266,11247,IPC3445
barcode05,Pf3D7_11_v3,1294074,826,1294900,0.635593220338983,ama1-p74-384,0.0,525,0,1,Human
barcode05,Pf3D7_13_v3,1724567,1286,1725853,1.3297045101088647,kelch13-p383-727,0.0,1710,0,2,Human
barcode06,Pf3D7_11_v3,1294074,826,1294900,2.654963680387409,ama1-p74-384,0.0,2193,0,5,NTC
barcode06,Pf3D7_13_v3,1724567,1286,1725853,1.334370139968896,kelch13-p383-727,0.0,1716,0,3,NTC
barcode07,Pf3D7_11_v3,1294074,826,1294900,4548.762711864407,ama1-p74-384,97.6997578692494,3757278,807,8227,8032905
barcode07,Pf3D7_13_v3,1724567,1286,1725853,3751.257387247279,kelch13-p383-727,98.4447900466563,4824117,1266,7395,8032905
barcode08,Pf3D7_11_v3,1294074,826,1294900,4851.903147699758,ama1-p74-384,97.6997578692494,4007672,807,8844,8032906
barcode08,Pf3D7_13_v3,1724567,1286,1725853,4401.678071539658,kelch13-p383-727,98.4447900466563,5660558,1266,8769,8032906
barcode09,Pf3D7_11_v3,1294074,826,1294900,3287.290556900726,ama1-p74-384,97.57869249394672,2715302,806,6361,8032908
barcode09,Pf3D7_13_v3,1724567,1286,1725853,1640.510886469673,kelch13-p383-727,98.21150855365474,2109697,1263,3435,8032908
barcode10,Pf3D7_11_v3,1294074,826,1294900,656.1610169491526,ama1-p74-384,96.97336561743342,541989,801,1253,8032910
barcode10,Pf3D7_13_v3,1724567,1286,1725853,2237.347589424572,kelch13-p383-727,98.28926905132192,2877229,1264,4800,8032910
barcode11,Pf3D7_11_v3,1294074,826,1294900,2826.841404358353,ama1-p74-384,97.57869249394672,2334971,806,5098,8032911
barcode11,Pf3D7_13_v3,1724567,1286,1725853,4395.922239502333,kelch13-p383-727,98.4447900466563,5653156,1266,8656,8032911
barcode12,Pf3D7_11_v3,1294074,826,1294900,0.4576271186440678,ama1-p74-384,0.0,378,0,1,8032913
barcode12,Pf3D7_13_v3,1724567,1286,1725853,992.7138413685848,kelch13-p383-727,98.05598755832035,1276630,1261,2098,8032913
barcode13,Pf3D7_11_v3,1294074,826,1294900,4881.353510895884,ama1-p74-384,97.6997578692494,4031998,807,9512,8032915
barcode13,Pf3D7_13_v3,1724567,1286,1725853,4770.307153965786,kelch13-p383-727,98.4447900466563,6134615,1266,9246,8032915
barcode14,Pf3D7_11_v3,1294074,826,1294900,2863.1549636803875,ama1-p74-384,97.6997578692494,2364966,807,5757,8032916
