set_type,sample_id,district,province,expt_name,barcode,gt_A724E,dp_A724E,wsaf_A724E,clonality,carrier_A724E
representative,8032012,mushindano,northwestern,2024-10-16_SLMM055_MIS2024_Batch1,barcode08,0.0,4454.0,0.000341996,polyclonal,False
clonal,8032294,kaoma,western,2024-10-16_SLMM055_MIS2024_Batch1,barcode13,0.0,4577.0,0.0,clonal,False
representative,8032550,luampa,western,2024-10-16_SLMM055_MIS2024_Batch1,barcode26,0.0,4094.0,0.000795015,polyclonal,False
representative,8032003,mushindano,northwestern,2024-10-16_SLMM055_MIS2024_Batch1,barcode33,0.0,3601.0,0.0,polyclonal,False
representative,8032589,shangombo,western,2024-10-16_SLMM055_MIS2024_Batch1,barcode34,0.0,4302.0,0.00015307,clonal,False
representative,8032319,mitete,western,2024-10-16_SLMM055_MIS2024_Batch1,barcode38,2.0,3368.0,0.999512,clonal,True
representative,8032551,luampa,western,2024-10-16_SLMM055_MIS2024_Batch1,barcode39,1.0,4228.0,0.323807,polyclonal,True
representative,8032545,kaoma,western,2024-10-16_SLMM055_MIS2024_Batch1,barcode42,1.0,4254.0,0.827502,clonal,True
representative,8032573,kalabo,western,2024-10-16_SLMM055_MIS2024_Batch1,barcode44,0.0,4548.0,0.0,polyclonal,False
clonal,8032348,sikongo,western,2024-10-16_SLMM056_MIS2024_Batch1,barcode57,0.0,2469.0,0.00040649,clonal,False
representative,8032032,mwinilunga,northwestern,2024-10-16_SLMM056_MIS2024_Batch1,barcode59,0.0,2683.0,0.0,clonal,False
representative,8032037,mwinilunga,northwestern,2024-10-16_SLMM056_MIS2024_Batch1,barcode72,0.0,3056.0,0.0,polyclonal,False
representative,8032543,kaoma,western,2024-10-16_SLMM056_MIS2024_Batch1,barcode73,1.0,2414.0,0.834696,polyclonal,True
representative,8031769,mushindano,northwestern,2024-10-16_SLMM056_MIS2024_Batch1,barcode74,0.0,2940.0,0.0,polyclonal,False
representative,8031774,mushindano,northwestern,2024-10-16_SLMM056_MIS2024_Batch1,barcode75,0.0,1330.0,0.0,polyclonal,False
representative,8031770,mushindano,northwestern,2024-10-16_SLMM056_MIS2024_Batch1,barcode76,0.0,1955.0,1.52506e-05,polyclonal,False
clonal,8032013,mushindano,northwestern,2024-10-16_SLMM056_MIS2024_Batch1,barcode78,0.0,2277.0,0.000280034,clonal,False
