barcode,chrom,start,length,end,mean_cov,name,cov_gr100_per,total_cov,cov_gr100,n_reads,sample_id
barcode01,Pf3D7_11_v3,1294074,826,1294900,3731.513317191284,ama1-p74-384,97.57869249394672,3082230,806,6395,3D7
barcode01,Pf3D7_13_v3,1724567,1286,1725853,1242.405132192846,kelch13-p383-727,98.28926905132192,1597733,1264,2436,3D7
barcode02,Pf3D7_11_v3,1294074,826,1294900,2119.414043583535,ama1-p74-384,97.45762711864408,1750636,805,3415,3D7
barcode02,Pf3D7_13_v3,1724567,1286,1725853,4116.542768273717,kelch13-p383-727,98.4447900466563,5293874,1266,7146,3D7
barcode03,Pf3D7_11_v3,1294074,826,1294900,2416.8813559322034,ama1-p74-384,97.45762711864408,1996344,805,4157,Dd2
barcode03,Pf3D7_13_v3,1724567,1286,1725853,5428.867029548989,kelch13-p383-727,98.4447900466563,6981523,1266,9378,Dd2
barcode04,Pf3D7_11_v3,1294074,826,1294900,2401.0387409200966,ama1-p74-384,97.57869249394672,1983258,806,3722,HB3
barcode04,Pf3D7_13_v3,1724567,1286,1725853,7257.301710730949,kelch13-p383-727,98.4447900466563,9332890,1266,11973,HB3
barcode05,Pf3D7_11_v3,1294074,826,1294900,2.110169491525424,ama1-p74-384,0.0,1743,0,3,Human
barcode05,Pf3D7_13_v3,1724567,1286,1725853,0.812597200622084,kelch13-p383-727,0.0,1045,0,1,Human
barcode06,Pf3D7_11_v3,1294074,826,1294900,0.9443099273607748,ama1-p74-384,0.0,780,0,2,NTC
barcode06,Pf3D7_13_v3,1724567,1286,1725853,2.6267496111975115,kelch13-p383-727,0.0,3378,0,4,NTC
barcode07,Pf3D7_11_v3,1294074,826,1294900,8252.734866828087,ama1-p74-384,97.82082324455206,6816759,808,13952,8036218
barcode07,Pf3D7_13_v3,1724567,1286,1725853,8830.9300155521,kelch13-p383-727,98.52255054432348,11356576,1267,15199,8036218
barcode08,Pf3D7_11_v3,1294074,826,1294900,2694.629539951574,ama1-p74-384,97.57869249394672,2225764,806,4782,8036219
barcode08,Pf3D7_13_v3,1724567,1286,1725853,6016.590979782271,kelch13-p383-727,98.4447900466563,7737336,1266,10349,8036219
barcode09,Pf3D7_11_v3,1294074,826,1294900,2916.309927360775,ama1-p74-384,97.57869249394672,2408872,806,5371,8036220
barcode09,Pf3D7_13_v3,1724567,1286,1725853,4971.778382581649,kelch13-p383-727,98.4447900466563,6393707,1266,8603,8036220
barcode10,Pf3D7_11_v3,1294074,826,1294900,2719.467312348668,ama1-p74-384,97.57869249394672,2246280,806,4645,8036221
barcode10,Pf3D7_13_v3,1724567,1286,1725853,4221.048211508553,kelch13-p383-727,98.4447900466563,5428268,1266,7758,8036221
barcode11,Pf3D7_11_v3,1294074,826,1294900,6875.962469733656,ama1-p74-384,97.82082324455206,5679545,808,12801,8036222
barcode11,Pf3D7_13_v3,1724567,1286,1725853,10163.578538102644,kelch13-p383-727,98.4447900466563,13070362,1266,17250,8036222
barcode12,Pf3D7_11_v3,1294074,826,1294900,2014.9927360774816,ama1-p74-384,97.45762711864408,1664384,805,3295,8036223
barcode12,Pf3D7_13_v3,1724567,1286,1725853,4783.635303265941,kelch13-p383-727,98.4447900466563,6151755,1266,8324,8036223
barcode13,Pf3D7_11_v3,1294074,826,1294900,2.7167070217917675,ama1-p74-384,0.0,2244,0,4,8036224
barcode13,Pf3D7_13_v3,1724567,1286,1725853,3.42846034214619,kelch13-p383-727,0.0,4409,0,8,8036224
barcode14,Pf3D7_11_v3,1294074,826,1294900,2183.5992736077483,ama1-p74-384,97.45762711864408,1803653,805,4136,8036225
barcode14,Pf3D7_13_v3,1724567,1286,1725853,1094.7643856920683,kelch13-p383-727,98.13374805598755,1407867,1262,2357,8036225
barcode15,Pf3D7_11_v3,1294074,826,1294900,1.3595641646489105,ama1-p74-384,0.0,1123,0,2,8036226
barcode15,Pf3D7_13_v3,1724567,1286,1725853,2.822706065318818,kelch13-p383-727,0.0,3630,0,4,8036226
barcode16,Pf3D7_11_v3,1294074,826,1294900,5941.731234866828,ama1-p74-384,97.6997578692494,4907870,807,10269,8036227
barcode16,Pf3D7_13_v3,1724567,1286,1725853,8326.418351477449,kelch13-p383-727,98.4447900466563,10707774,1266,14231,8036227
barcode17,Pf3D7_11_v3,1294074,826,1294900,3442.0786924939466,ama1-p74-384,97.57869249394672,2843157,806,5761,8036228
barcode17,Pf3D7_13_v3,1724567,1286,1725853,7159.059097978227,kelch13-p383-727,98.4447900466563,9206550,1266,12267,8036228
barcode18,Pf3D7_11_v3,1294074,826,1294900,2436.911622276029,ama1-p74-384,97.57869249394672,2012889,806,3892,8036229
barcode18,Pf3D7_13_v3,1724567,1286,1725853,2756.625194401244,kelch13-p383-727,98.28926905132192,3545020,1264,4795,8036229
barcode19,Pf3D7_11_v3,1294074,826,1294900,4646.165859564165,ama1-p74-384,97.57869249394672,3837733,806,7747,8036230
barcode19,Pf3D7_13_v3,1724567,1286,1725853,3586.363919129082,kelch13-p383-727,98.36702954898912,4612064,1265,6365,8036230
barcode20,Pf3D7_11_v3,1294074,826,1294900,3479.51210653753,ama1-p74-384,97.57869249394672,2874077,806,5998,8036231
barcode20,Pf3D7_13_v3,1724567,1286,1725853,5466.5886469673405,kelch13-p383-727,98.4447900466563,7030033,1266,9259,8036231
barcode21,Pf3D7_11_v3,1294074,826,1294900,5137.227602905569,ama1-p74-384,97.57869249394672,4243350,806,9623,8036232
barcode21,Pf3D7_13_v3,1724567,1286,1725853,5359.339035769829,kelch13-p383-727,98.4447900466563,6892110,1266,9303,8036232
barcode22,Pf3D7_11_v3,1294074,826,1294900,3972.240920096852,ama1-p74-384,97.57869249394672,3281071,806,6310,8036233
barcode22,Pf3D7_13_v3,1724567,1286,1725853,8890.857698289268,kelch13-p383-727,98.4447900466563,11433643,1266,14862,8036233
barcode23,Pf3D7_11_v3,1294074,826,1294900,3833.405569007264,ama1-p74-384,97.57869249394672,3166393,806,6505,8036234
barcode23,Pf3D7_13_v3,1724567,1286,1725853,2980.173405909798,kelch13-p383-727,98.36702954898912,3832503,1265,5390,8036234
barcode24,Pf3D7_11_v3,1294074,826,1294900,2873.141646489104,ama1-p74-384,97.45762711864408,2373215,805,4850,8036238
barcode24,Pf3D7_13_v3,1724567,1286,1725853,7606.120528771384,kelch13-p383-727,98.4447900466563,9781471,1266,13039,8036238
barcode25,Pf3D7_11_v3,1294074,826,1294900,3630.4939467312342,ama1-p74-384,97.57869249394672,2998788,806,5845,8036239
barcode25,Pf3D7_13_v3,1724567,1286,1725853,6220.202954898911,kelch13-p383-727,98.4447900466563,7999181,1266,10910,8036239
barcode26,Pf3D7_11_v3,1294074,826,1294900,3712.7493946731233,ama1-p74-384,97.57869249394672,3066731,806,6051,8036240
barcode26,Pf3D7_13_v3,1724567,1286,1725853,4091.120528771384,kelch13-p383-727,98.4447900466563,5261181,1266,7398,8036240
barcode27,Pf3D7_11_v3,1294074,826,1294900,3822.7566585956415,ama1-p74-384,97.57869249394672,3157597,806,6481,8036243
barcode27,Pf3D7_13_v3,1724567,1286,1725853,7827.894245723172,kelch13-p383-727,98.4447900466563,10066672,1266,13276,8036243
barcode28,Pf3D7_11_v3,1294074,826,1294900,7103.156174334141,ama1-p74-384,97.82082324455206,5867207,808,11877,8036246
barcode28,Pf3D7_13_v3,1724567,1286,1725853,5903.243390357698,kelch13-p383-727,98.4447900466563,7591571,1266,10627,8036246
barcode29,Pf3D7_11_v3,1294074,826,1294900,1713.1222760290557,ama1-p74-384,97.45762711864408,1415039,805,2885,8036249
barcode29,Pf3D7_13_v3,1724567,1286,1725853,2575.541213063764,kelch13-p383-727,98.28926905132192,3312146,1264,4800,8036249
barcode30,Pf3D7_11_v3,1294074,826,1294900,4635.372881355932,ama1-p74-384,97.57869249394672,3828818,806,7567,8036253
barcode30,Pf3D7_13_v3,1724567,1286,1725853,5640.0466562986,kelch13-p383-727,98.4447900466563,7253100,1266,10063,8036253
unclassified,Pf3D7_11_v3,1294074,826,1294900,6944.503631961259,ama1-p74-384,97.82082324455206,5736160,808,11613,unclassified
unclassified,Pf3D7_13_v3,1724567,1286,1725853,11424.755832037325,kelch13-p383-727,98.4447900466563,14692236,1266,19424,unclassified
