barcode,chrom,start,length,end,mean_cov,name,cov_gr100_per,total_cov,cov_gr100,n_reads,sample_id
barcode01,Pf3D7_11_v3,1294074,826,1294900,1674.1585956416466,ama1-p74-384,97.3365617433414,1382855,804,3345,3D7
barcode01,Pf3D7_13_v3,1724567,1286,1725853,2274.0233281493,kelch13-p383-727,98.28926905132192,2924394,1264,4813,3D7
barcode02,Pf3D7_11_v3,1294074,826,1294900,3177.605326876513,ama1-p74-384,97.57869249394672,2624702,806,5538,Dd2
barcode02,Pf3D7_13_v3,1724567,1286,1725853,2995.2169517884918,kelch13-p383-727,98.28926905132192,3851849,1264,5862,Dd2
barcode03,Pf3D7_11_v3,1294074,826,1294900,2592.278450363196,ama1-p74-384,97.45762711864408,2141222,805,4691,HB3
barcode03,Pf3D7_13_v3,1724567,1286,1725853,6409.44634525661,kelch13-p383-727,98.4447900466563,8242548,1266,12470,HB3
barcode04,Pf3D7_11_v3,1294074,826,1294900,3674.73607748184,ama1-p74-384,97.57869249394672,3035332,806,6242,IPC3663
barcode04,Pf3D7_13_v3,1724567,1286,1725853,6088.012441679627,kelch13-p383-727,98.36702954898912,7829184,1265,11546,IPC3663
barcode05,Pf3D7_11_v3,1294074,826,1294900,1.1513317191283292,ama1-p74-384,0.0,951,0,2,Human
barcode05,Pf3D7_13_v3,1724567,1286,1725853,0.0,kelch13-p383-727,0.0,0,0,0,Human
barcode06,Pf3D7_11_v3,1294074,826,1294900,1.3426150121065374,ama1-p74-384,0.0,1109,0,2,NTC
barcode06,Pf3D7_13_v3,1724567,1286,1725853,0.4618973561430793,kelch13-p383-727,0.0,594,0,1,NTC
barcode07,Pf3D7_11_v3,1294074,826,1294900,4645.192493946731,ama1-p74-384,97.57869249394672,3836929,806,8568,DR990
barcode07,Pf3D7_13_v3,1724567,1286,1725853,4625.724727838258,kelch13-p383-727,98.36702954898912,5948682,1265,9014,DR990
barcode08,Pf3D7_11_v3,1294074,826,1294900,303.7227602905569,ama1-p74-384,96.3680387409201,250875,796,562,DR991
barcode08,Pf3D7_13_v3,1724567,1286,1725853,3.3732503888024885,kelch13-p383-727,0.0,4338,0,5,DR991
barcode09,Pf3D7_11_v3,1294074,826,1294900,3169.409200968523,ama1-p74-384,97.57869249394672,2617932,806,6015,DR994
barcode09,Pf3D7_13_v3,1724567,1286,1725853,6415.722395023328,kelch13-p383-727,98.4447900466563,8250619,1266,13101,DR994
barcode10,Pf3D7_11_v3,1294074,826,1294900,120.08837772397096,ama1-p74-384,75.78692493946731,99193,626,200,DR995
barcode10,Pf3D7_13_v3,1724567,1286,1725853,225.300933125972,kelch13-p383-727,93.2348367029549,289737,1199,445,DR995
barcode11,Pf3D7_11_v3,1294074,826,1294900,5343.893462469734,ama1-p74-384,97.6997578692494,4414056,807,10403,EE007
barcode11,Pf3D7_13_v3,1724567,1286,1725853,5245.323483670296,kelch13-p383-727,98.36702954898912,6745486,1265,10346,EE007
barcode12,Pf3D7_11_v3,1294074,826,1294900,1312.53995157385,ama1-p74-384,97.3365617433414,1084158,804,2374,EE009
barcode12,Pf3D7_13_v3,1724567,1286,1725853,1913.3133748055989,kelch13-p383-727,97.900466562986,2460521,1259,3860,EE009
barcode13,Pf3D7_11_v3,1294074,826,1294900,2490.8765133171914,ama1-p74-384,97.45762711864408,2057464,805,4514,EE014
barcode13,Pf3D7_13_v3,1724567,1286,1725853,3170.201399688958,kelch13-p383-727,98.28926905132192,4076879,1264,6262,EE014
barcode14,Pf3D7_11_v3,1294074,826,1294900,2423.262711864407,ama1-p74-384,97.3365617433414,2001615,804,4516,EE015
barcode14,Pf3D7_13_v3,1724567,1286,1725853,848.1283048211509,kelch13-p383-727,98.13374805598755,1090693,1262,1753,EE015
barcode15,Pf3D7_11_v3,1294074,826,1294900,2018.8595641646489,ama1-p74-384,97.3365617433414,1667578,804,3736,EE018
barcode15,Pf3D7_13_v3,1724567,1286,1725853,2361.781493001555,kelch13-p383-727,98.28926905132192,3037251,1264,4693,EE018
barcode16,Pf3D7_11_v3,1294074,826,1294900,2382.998789346247,ama1-p74-384,97.3365617433414,1968357,804,4280,EE019
barcode16,Pf3D7_13_v3,1724567,1286,1725853,5140.02799377916,kelch13-p383-727,98.4447900466563,6610076,1266,10016,EE019
barcode17,Pf3D7_11_v3,1294074,826,1294900,1545.814769975787,ama1-p74-384,97.3365617433414,1276843,804,2890,EE029
barcode17,Pf3D7_13_v3,1724567,1286,1725853,3568.2122861586317,kelch13-p383-727,98.28926905132192,4588721,1264,7117,EE029
barcode18,Pf3D7_11_v3,1294074,826,1294900,41.73244552058112,ama1-p74-384,0.0,34471,0,82,EE030
barcode18,Pf3D7_13_v3,1724567,1286,1725853,2.076205287713841,kelch13-p383-727,0.0,2670,0,4,EE030
barcode19,Pf3D7_11_v3,1294074,826,1294900,3768.006053268765,ama1-p74-384,97.57869249394672,3112373,806,6888,EE033
barcode19,Pf3D7_13_v3,1724567,1286,1725853,3808.545878693624,kelch13-p383-727,98.28926905132192,4897790,1264,7291,EE033
barcode20,Pf3D7_11_v3,1294074,826,1294900,3736.898305084746,ama1-p74-384,97.57869249394672,3086678,806,7206,EE039
barcode20,Pf3D7_13_v3,1724567,1286,1725853,2194.1143079315707,kelch13-p383-727,98.28926905132192,2821631,1264,4355,EE039
barcode21,Pf3D7_11_v3,1294074,826,1294900,2708.1501210653755,ama1-p74-384,97.57869249394672,2236932,806,5139,EE040
barcode21,Pf3D7_13_v3,1724567,1286,1725853,3990.706065318818,kelch13-p383-727,98.28926905132192,5132048,1264,7609,EE040
barcode22,Pf3D7_11_v3,1294074,826,1294900,2881.366828087167,ama1-p74-384,97.45762711864408,2380009,805,5019,EE041
barcode22,Pf3D7_13_v3,1724567,1286,1725853,2224.3755832037327,kelch13-p383-727,98.28926905132192,2860547,1264,4103,EE041
barcode23,Pf3D7_11_v3,1294074,826,1294900,2561.59200968523,ama1-p74-384,97.45762711864408,2115875,805,4590,EE042
barcode23,Pf3D7_13_v3,1724567,1286,1725853,2796.440902021773,kelch13-p383-727,98.28926905132192,3596223,1264,5330,EE042
barcode24,Pf3D7_11_v3,1294074,826,1294900,2724.51210653753,ama1-p74-384,97.45762711864408,2250447,805,4848,EE043
