barcode,chrom,start,length,end,mean_cov,name,cov_gr100_per,total_cov,cov_gr100,n_reads
barcode01,Pf3D7_11_v3,1294074,826,1294900,6394.349878934625,ama1-p74-384,97.6997578692494,5281733,807,12326
barcode01,Pf3D7_13_v3,1724567,1286,1725853,3918.825038880249,kelch13-p383-727,98.4447900466563,5039609,1266,8029
barcode02,Pf3D7_11_v3,1294074,826,1294900,2545.415254237288,ama1-p74-384,97.57869249394672,2102513,806,4751
barcode02,Pf3D7_13_v3,1724567,1286,1725853,3210.173405909798,kelch13-p383-727,98.36702954898912,4128283,1265,6090
barcode03,Pf3D7_11_v3,1294074,826,1294900,2295.0266343825665,ama1-p74-384,97.57869249394672,1895692,806,4354
barcode03,Pf3D7_13_v3,1724567,1286,1725853,3982.2247278382574,kelch13-p383-727,98.4447900466563,5121141,1266,7993
barcode04,Pf3D7_11_v3,1294074,826,1294900,1.645278450363196,ama1-p74-384,0.0,1359,0,3
barcode04,Pf3D7_13_v3,1724567,1286,1725853,0.5248833592534993,kelch13-p383-727,0.0,675,0,1
barcode05,Pf3D7_11_v3,1294074,826,1294900,0.473365617433414,ama1-p74-384,0.0,391,0,1
barcode05,Pf3D7_13_v3,1724567,1286,1725853,1.1944012441679628,kelch13-p383-727,0.0,1536,0,2
barcode06,Pf3D7_11_v3,1294074,826,1294900,2804.7409200968523,ama1-p74-384,97.57869249394672,2316716,806,5492
barcode06,Pf3D7_13_v3,1724567,1286,1725853,2074.068429237947,kelch13-p383-727,98.28926905132192,2667252,1264,4239
barcode07,Pf3D7_11_v3,1294074,826,1294900,2671.290556900726,ama1-p74-384,97.57869249394672,2206486,806,5238
barcode07,Pf3D7_13_v3,1724567,1286,1725853,2543.387247278383,kelch13-p383-727,98.28926905132192,3270796,1264,4910
barcode08,Pf3D7_11_v3,1294074,826,1294900,3602.939467312349,ama1-p74-384,97.57869249394672,2976028,806,7310
barcode08,Pf3D7_13_v3,1724567,1286,1725853,711.4852255054433,kelch13-p383-727,98.13374805598755,914970,1262,1623
barcode09,Pf3D7_11_v3,1294074,826,1294900,7117.68401937046,ama1-p74-384,97.6997578692494,5879207,807,14614
barcode09,Pf3D7_13_v3,1724567,1286,1725853,2822.167962674961,kelch13-p383-727,98.28926905132192,3629308,1264,6085
barcode10,Pf3D7_11_v3,1294074,826,1294900,1627.824455205811,ama1-p74-384,97.45762711864408,1344583,805,3295
barcode10,Pf3D7_13_v3,1724567,1286,1725853,1592.1003110419906,kelch13-p383-727,98.21150855365474,2047441,1263,3415
barcode11,Pf3D7_11_v3,1294074,826,1294900,5781.329297820823,ama1-p74-384,97.57869249394672,4775378,806,10614
barcode11,Pf3D7_13_v3,1724567,1286,1725853,3.35303265940902,kelch13-p383-727,0.0,4312,0,10
barcode12,Pf3D7_11_v3,1294074,826,1294900,1465.1610169491526,ama1-p74-384,97.3365617433414,1210223,804,2897
barcode12,Pf3D7_13_v3,1724567,1286,1725853,1226.3545878693624,kelch13-p383-727,98.21150855365474,1577092,1263,2513
barcode13,Pf3D7_11_v3,1294074,826,1294900,5828.969733656174,ama1-p74-384,97.6997578692494,4814729,807,11695
barcode13,Pf3D7_13_v3,1724567,1286,1725853,1084.3888024883358,kelch13-p383-727,98.13374805598755,1394524,1262,2318
barcode14,Pf3D7_11_v3,1294074,826,1294900,5749.589588377724,ama1-p74-384,97.6997578692494,4749161,807,11592
barcode14,Pf3D7_13_v3,1724567,1286,1725853,679.8390357698289,kelch13-p383-727,97.900466562986,874273,1259,1685
barcode15,Pf3D7_11_v3,1294074,826,1294900,1998.177966101695,ama1-p74-384,97.57869249394672,1650495,806,3896
barcode15,Pf3D7_13_v3,1724567,1286,1725853,693.6570762052877,kelch13-p383-727,98.13374805598755,892043,1262,1468
barcode16,Pf3D7_11_v3,1294074,826,1294900,5645.6598062954,ama1-p74-384,97.6997578692494,4663315,807,10768
barcode16,Pf3D7_13_v3,1724567,1286,1725853,329.6726283048212,kelch13-p383-727,96.9673405909798,423959,1247,753
barcode17,Pf3D7_11_v3,1294074,826,1294900,1480.107748184019,ama1-p74-384,97.45762711864408,1222569,805,2959
barcode17,Pf3D7_13_v3,1724567,1286,1725853,897.2783825816485,kelch13-p383-727,98.13374805598755,1153900,1262,1962
barcode18,Pf3D7_11_v3,1294074,826,1294900,1833.185230024213,ama1-p74-384,97.45762711864408,1514211,805,3675
barcode18,Pf3D7_13_v3,1724567,1286,1725853,1403.4082426127527,kelch13-p383-727,98.21150855365474,1804783,1263,2882
barcode19,Pf3D7_11_v3,1294074,826,1294900,4017.090799031477,ama1-p74-384,97.57869249394672,3318117,806,7419
barcode19,Pf3D7_13_v3,1724567,1286,1725853,767.8195956454122,kelch13-p383-727,97.97822706065318,987416,1260,1668
barcode20,Pf3D7_11_v3,1294074,826,1294900,2120.677966101695,ama1-p74-384,97.45762711864408,1751680,805,3955
barcode20,Pf3D7_13_v3,1724567,1286,1725853,1157.5917573872473,kelch13-p383-727,98.13374805598755,1488663,1262,2334
barcode21,Pf3D7_11_v3,1294074,826,1294900,3845.778450363196,ama1-p74-384,97.57869249394672,3176613,806,7897
barcode21,Pf3D7_13_v3,1724567,1286,1725853,387.5738724727838,kelch13-p383-727,97.66718506998444,498420,1256,986
barcode22,Pf3D7_11_v3,1294074,826,1294900,3317.0351089588376,ama1-p74-384,97.6997578692494,2739871,807,6653
barcode22,Pf3D7_13_v3,1724567,1286,1725853,4167.185847589424,kelch13-p383-727,98.4447900466563,5359001,1266,7981
barcode23,Pf3D7_11_v3,1294074,826,1294900,1110.7917675544795,ama1-p74-384,97.21549636803874,917514,803,2189
barcode23,Pf3D7_13_v3,1724567,1286,1725853,36.66251944012442,kelch13-p383-727,0.0,47148,0,90
barcode24,Pf3D7_11_v3,1294074,826,1294900,2909.874092009685,ama1-p74-384,97.45762711864408,2403556,805,5342
barcode24,Pf3D7_13_v3,1724567,1286,1725853,0.9657853810264384,kelch13-p383-727,0.0,1242,0,4
barcode25,Pf3D7_11_v3,1294074,826,1294900,6321.953995157385,ama1-p74-384,97.6997578692494,5221934,807,11843
barcode25,Pf3D7_13_v3,1724567,1286,1725853,1541.900466562986,kelch13-p383-727,98.21150855365474,1982884,1263,3183
barcode26,Pf3D7_11_v3,1294074,826,1294900,4028.1997578692494,ama1-p74-384,97.57869249394672,3327293,806,7555
barcode26,Pf3D7_13_v3,1724567,1286,1725853,658.9066874027994,kelch13-p383-727,98.13374805598755,847354,1262,1389
barcode27,Pf3D7_11_v3,1294074,826,1294900,5487.829297820823,ama1-p74-384,97.57869249394672,4532947,806,9957
barcode27,Pf3D7_13_v3,1724567,1286,1725853,40.80793157076205,kelch13-p383-727,0.0,52479,0,102
barcode28,Pf3D7_11_v3,1294074,826,1294900,15735.60411622276,ama1-p74-384,97.82082324455206,12997609,808,31856
barcode28,Pf3D7_13_v3,1724567,1286,1725853,8.105754276827371,kelch13-p383-727,0.0,10424,0,20
barcode29,Pf3D7_11_v3,1294074,826,1294900,4700.757869249394,ama1-p74-384,97.6997578692494,3882826,807,8589
barcode29,Pf3D7_13_v3,1724567,1286,1725853,2770.6555209953344,kelch13-p383-727,98.28926905132192,3563063,1264,5378
barcode30,Pf3D7_11_v3,1294074,826,1294900,3938.848668280872,ama1-p74-384,97.57869249394672,3253489,806,7755
barcode30,Pf3D7_13_v3,1724567,1286,1725853,4278.7550544323485,kelch13-p383-727,98.4447900466563,5502479,1266,8301
barcode31,Pf3D7_11_v3,1294074,826,1294900,6084.704600484261,ama1-p74-384,97.6997578692494,5025966,807,12195
