barcode,chrom,start,length,end,mean_cov,name,cov_gr100_per,total_cov,cov_gr100,n_reads,sample_id
barcode01,Pf3D7_11_v3,1294074,826,1294900,6474.940677966101,ama1-p74-384,97.82082324455206,5348301,808,11720,3D7
barcode01,Pf3D7_13_v3,1724567,1286,1725853,9971.13530326594,kelch13-p383-727,98.4447900466563,12822880,1266,19106,3D7
barcode02,Pf3D7_11_v3,1294074,826,1294900,5443.633171912833,ama1-p74-384,97.6997578692494,4496441,807,9337,Dd2
barcode02,Pf3D7_13_v3,1724567,1286,1725853,4479.311819595646,kelch13-p383-727,98.4447900466563,5760395,1266,8280,Dd2
barcode03,Pf3D7_11_v3,1294074,826,1294900,3795.301452784504,ama1-p74-384,97.57869249394672,3134919,806,6529,HB3
barcode03,Pf3D7_13_v3,1724567,1286,1725853,7827.968118195957,kelch13-p383-727,98.4447900466563,10066767,1266,14376,HB3
barcode04,Pf3D7_11_v3,1294074,826,1294900,6476.767554479419,ama1-p74-384,97.6997578692494,5349810,807,10620,IPC3663
barcode04,Pf3D7_13_v3,1724567,1286,1725853,6821.670295489891,kelch13-p383-727,98.4447900466563,8772668,1266,12170,IPC3663
barcode05,Pf3D7_11_v3,1294074,826,1294900,0.0,ama1-p74-384,0.0,0,0,0,Human
barcode05,Pf3D7_13_v3,1724567,1286,1725853,0.0,kelch13-p383-727,0.0,0,0,0,Human
barcode06,Pf3D7_11_v3,1294074,826,1294900,0.9515738498789348,ama1-p74-384,0.0,786,0,1,NTC
barcode06,Pf3D7_13_v3,1724567,1286,1725853,0.0,kelch13-p383-727,0.0,0,0,0,NTC
barcode07,Pf3D7_11_v3,1294074,826,1294900,4529.891041162227,ama1-p74-384,97.57869249394672,3741690,806,7903,5053815
barcode07,Pf3D7_13_v3,1724567,1286,1725853,2774.021772939346,kelch13-p383-727,98.28926905132192,3567392,1264,5274,5053815
barcode08,Pf3D7_11_v3,1294074,826,1294900,581.090799031477,ama1-p74-384,97.09443099273608,479981,802,1032,8012209
barcode08,Pf3D7_13_v3,1724567,1286,1725853,110.46656298600313,kelch13-p383-727,68.58475894245723,142060,882,214,8012209
barcode09,Pf3D7_11_v3,1294074,826,1294900,810.2348668280872,ama1-p74-384,97.09443099273608,669254,802,1461,8012710
barcode09,Pf3D7_13_v3,1724567,1286,1725853,834.6220839813375,kelch13-p383-727,98.13374805598755,1073324,1262,1569,8012710
barcode10,Pf3D7_11_v3,1294074,826,1294900,584.1924939467312,ama1-p74-384,97.09443099273608,482543,802,1063,8012713
barcode10,Pf3D7_13_v3,1724567,1286,1725853,252.94401244167963,kelch13-p383-727,97.4339035769829,325286,1253,513,8012713
barcode11,Pf3D7_11_v3,1294074,826,1294900,2377.157384987893,ama1-p74-384,97.45762711864408,1963532,805,4151,8012714
barcode11,Pf3D7_13_v3,1724567,1286,1725853,3029.013219284604,kelch13-p383-727,98.28926905132192,3895311,1264,5636,8012714
barcode12,Pf3D7_11_v3,1294074,826,1294900,6862.044794188862,ama1-p74-384,97.6997578692494,5668049,807,12757,8012717
barcode12,Pf3D7_13_v3,1724567,1286,1725853,6803.9766718507,kelch13-p383-727,98.4447900466563,8749914,1266,12297,8012717
barcode13,Pf3D7_11_v3,1294074,826,1294900,7032.105326876514,ama1-p74-384,97.6997578692494,5808519,807,11980,8012718
barcode13,Pf3D7_13_v3,1724567,1286,1725853,4288.97900466563,kelch13-p383-727,98.28926905132192,5515627,1264,7630,8012718
barcode14,Pf3D7_11_v3,1294074,826,1294900,1304.863196125908,ama1-p74-384,97.3365617433414,1077817,804,2425,8012719
barcode14,Pf3D7_13_v3,1724567,1286,1725853,844.0754276827372,kelch13-p383-727,98.13374805598755,1085481,1262,1622,8012719
barcode15,Pf3D7_11_v3,1294074,826,1294900,1023.998789346247,ama1-p74-384,97.09443099273608,845823,802,1754,8012720
barcode15,Pf3D7_13_v3,1724567,1286,1725853,1009.7363919129084,kelch13-p383-727,98.13374805598755,1298521,1262,1880,8012720
barcode16,Pf3D7_11_v3,1294074,826,1294900,221.25302663438256,ama1-p74-384,94.30992736077482,182755,779,397,8012721
barcode16,Pf3D7_13_v3,1724567,1286,1725853,200.3973561430793,kelch13-p383-727,96.3452566096423,257711,1239,418,8012721
barcode17,Pf3D7_11_v3,1294074,826,1294900,6519.799031476998,ama1-p74-384,97.6997578692494,5385354,807,12027,8012724
barcode17,Pf3D7_13_v3,1724567,1286,1725853,6475.48600311042,kelch13-p383-727,98.4447900466563,8327475,1266,11956,8012724
barcode18,Pf3D7_11_v3,1294074,826,1294900,6121.462469733656,ama1-p74-384,97.6997578692494,5056328,807,11465,8012725
barcode18,Pf3D7_13_v3,1724567,1286,1725853,3002.409797822706,kelch13-p383-727,98.28926905132192,3861099,1264,5507,8012725
barcode19,Pf3D7_11_v3,1294074,826,1294900,4695.7615012106535,ama1-p74-384,97.57869249394672,3878699,806,7742,8012728
barcode19,Pf3D7_13_v3,1724567,1286,1725853,1675.4416796267496,kelch13-p383-727,98.21150855365474,2154618,1263,3075,8012728
barcode20,Pf3D7_11_v3,1294074,826,1294900,5244.9782082324455,ama1-p74-384,97.57869249394672,4332352,806,9162,8012729
barcode20,Pf3D7_13_v3,1724567,1286,1725853,2270.401244167963,kelch13-p383-727,98.28926905132192,2919736,1264,4119,8012729
barcode21,Pf3D7_11_v3,1294074,826,1294900,4508.392251815981,ama1-p74-384,97.57869249394672,3723932,806,7681,8012730
barcode21,Pf3D7_13_v3,1724567,1286,1725853,8228.717729393467,kelch13-p383-727,98.4447900466563,10582131,1266,14661,8012730
barcode22,Pf3D7_11_v3,1294074,826,1294900,3962.152542372881,ama1-p74-384,97.57869249394672,3272738,806,6725,8012731
barcode22,Pf3D7_13_v3,1724567,1286,1725853,6736.830482115086,kelch13-p383-727,98.4447900466563,8663564,1266,11972,8012731
barcode23,Pf3D7_11_v3,1294074,826,1294900,2390.96004842615,ama1-p74-384,97.57869249394672,1974933,806,4224,8012732
barcode23,Pf3D7_13_v3,1724567,1286,1725853,828.9167962674961,kelch13-p383-727,98.13374805598755,1065987,1262,1565,8012732
barcode24,Pf3D7_11_v3,1294074,826,1294900,404.9963680387409,ama1-p74-384,96.97336561743342,334527,801,832,8012733
barcode24,Pf3D7_13_v3,1724567,1286,1725853,36.94323483670296,kelch13-p383-727,0.0,47509,0,86,8012733
barcode25,Pf3D7_11_v3,1294074,826,1294900,12193.679176755448,ama1-p74-384,97.82082324455206,10071979,808,22520,8012736
barcode25,Pf3D7_13_v3,1724567,1286,1725853,12900.927682737169,kelch13-p383-727,98.4447900466563,16590593,1266,23391,8012736
