barcode,chrom,start,length,end,mean_cov,name,cov_gr100_per,total_cov,cov_gr100,n_reads,sample_id
barcode01,Pf3D7_11_v3,1294074,826,1294900,3506.5230024213074,ama1-p74-384,97.57869249394672,2896388,806,5844,3D7
barcode01,Pf3D7_13_v3,1724567,1286,1725853,5255.841368584759,kelch13-p383-727,98.4447900466563,6759012,1266,9321,3D7
barcode02,Pf3D7_11_v3,1294074,826,1294900,1726.0762711864406,ama1-p74-384,97.3365617433414,1425739,804,2652,Dd2
barcode02,Pf3D7_13_v3,1724567,1286,1725853,1201.7923794712283,kelch13-p383-727,98.13374805598755,1545505,1262,2028,Dd2
barcode03,Pf3D7_11_v3,1294074,826,1294900,1420.3196125907991,ama1-p74-384,97.3365617433414,1173184,804,2254,HB3
barcode03,Pf3D7_13_v3,1724567,1286,1725853,3209.428460342146,kelch13-p383-727,98.28926905132192,4127325,1264,5452,HB3
barcode04,Pf3D7_11_v3,1294074,826,1294900,3592.244552058112,ama1-p74-384,97.57869249394672,2967194,806,5435,IPC3663
barcode04,Pf3D7_13_v3,1724567,1286,1725853,3399.182737169518,kelch13-p383-727,98.28926905132192,4371349,1264,5764,IPC3663
barcode05,Pf3D7_11_v3,1294074,826,1294900,0.0,ama1-p74-384,0.0,0,0,0,Human
barcode05,Pf3D7_13_v3,1724567,1286,1725853,1.401244167962675,kelch13-p383-727,0.0,1802,0,3,Human
barcode06,Pf3D7_11_v3,1294074,826,1294900,0.0,ama1-p74-384,0.0,0,0,0,NTC
barcode06,Pf3D7_13_v3,1724567,1286,1725853,0.0,kelch13-p383-727,0.0,0,0,0,NTC
barcode07,Pf3D7_11_v3,1294074,826,1294900,2434.0629539951574,ama1-p74-384,97.45762711864408,2010536,805,3974,1023530
barcode07,Pf3D7_13_v3,1724567,1286,1725853,390.4183514774495,kelch13-p383-727,97.8227060653188,502078,1258,703,1023530
barcode08,Pf3D7_11_v3,1294074,826,1294900,2148.53995157385,ama1-p74-384,97.3365617433414,1774694,804,3510,1023529
barcode08,Pf3D7_13_v3,1724567,1286,1725853,5.016329704510109,kelch13-p383-727,0.0,6451,0,10,1023529
barcode09,Pf3D7_11_v3,1294074,826,1294900,2690.9176755447943,ama1-p74-384,97.57869249394672,2222698,806,4855,1023531
barcode09,Pf3D7_13_v3,1724567,1286,1725853,580.4463452566097,kelch13-p383-727,98.13374805598755,746454,1262,1083,1023531
barcode10,Pf3D7_11_v3,1294074,826,1294900,4404.449152542373,ama1-p74-384,97.57869249394672,3638075,806,7992,1023532
barcode10,Pf3D7_13_v3,1724567,1286,1725853,1457.2068429237947,kelch13-p383-727,98.21150855365474,1873968,1263,2657,1023532
barcode11,Pf3D7_11_v3,1294074,826,1294900,99.45278450363196,ama1-p74-384,59.44309927360775,82148,491,156,1023580
barcode11,Pf3D7_13_v3,1724567,1286,1725853,2.26049766718507,kelch13-p383-727,0.0,2907,0,4,1023580
barcode12,Pf3D7_11_v3,1294074,826,1294900,1951.639225181598,ama1-p74-384,97.45762711864408,1612054,805,3208,1023581
barcode12,Pf3D7_13_v3,1724567,1286,1725853,1601.5256609642302,kelch13-p383-727,98.21150855365474,2059562,1263,2860,1023581
barcode13,Pf3D7_11_v3,1294074,826,1294900,980.0072639225182,ama1-p74-384,97.09443099273608,809486,802,1564,1023585
barcode13,Pf3D7_13_v3,1724567,1286,1725853,342.4634525660964,kelch13-p383-727,97.74494556765164,440408,1257,625,1023585
barcode14,Pf3D7_11_v3,1294074,826,1294900,2151.1162227602904,ama1-p74-384,97.45762711864408,1776822,805,3496,1023584
barcode14,Pf3D7_13_v3,1724567,1286,1725853,4090.53732503888,kelch13-p383-727,98.36702954898912,5260431,1265,7104,1023584
barcode15,Pf3D7_11_v3,1294074,826,1294900,1946.824455205811,ama1-p74-384,97.45762711864408,1608077,805,3056,1023555
