barcode,chrom,start,length,end,mean_cov,name,cov_gr100_per,total_cov,cov_gr100,n_reads,sample_id
barcode01,Pf3D7_11_v3,1294074,826,1294900,439.53389830508473,ama1-p74-384,96.85230024213077,363055,800,694,3D7
barcode01,Pf3D7_13_v3,1724567,1286,1725853,90.9393468118196,kelch13-p383-727,50.38880248833593,116948,648,152,3D7
barcode02,Pf3D7_11_v3,1294074,826,1294900,1821.9709443099275,ama1-p74-384,97.45762711864408,1504948,805,2756,Dd2
barcode02,Pf3D7_13_v3,1724567,1286,1725853,3227.436236391913,kelch13-p383-727,98.36702954898912,4150483,1265,5316,Dd2
barcode03,Pf3D7_11_v3,1294074,826,1294900,603.2118644067797,ama1-p74-384,96.97336561743342,498253,801,997,HB3
barcode03,Pf3D7_13_v3,1724567,1286,1725853,739.538102643857,kelch13-p383-727,98.13374805598755,951046,1262,1280,HB3
barcode04,Pf3D7_11_v3,1294074,826,1294900,0.0,ama1-p74-384,0.0,0,0,0,Human
barcode04,Pf3D7_13_v3,1724567,1286,1725853,0.0,kelch13-p383-727,0.0,0,0,0,Human
barcode05,Pf3D7_11_v3,1294074,826,1294900,0.0,ama1-p74-384,0.0,0,0,0,NTC
barcode05,Pf3D7_13_v3,1724567,1286,1725853,0.0,kelch13-p383-727,0.0,0,0,0,NTC
barcode06,Pf3D7_11_v3,1294074,826,1294900,451.8147699757869,ama1-p74-384,96.85230024213077,373199,800,825,1012422
barcode06,Pf3D7_13_v3,1724567,1286,1725853,211.20295489891132,kelch13-p383-727,91.29082426127528,271607,1174,382,1012422
barcode07,Pf3D7_11_v3,1294074,826,1294900,2718.8341404358357,ama1-p74-384,97.57869249394672,2245757,806,4244,1012415
barcode07,Pf3D7_13_v3,1724567,1286,1725853,2187.573094867807,kelch13-p383-727,98.36702954898912,2813219,1265,3547,1012415
barcode08,Pf3D7_11_v3,1294074,826,1294900,0.0,ama1-p74-384,0.0,0,0,0,1012446
barcode08,Pf3D7_13_v3,1724567,1286,1725853,0.0,kelch13-p383-727,0.0,0,0,0,1012446
barcode09,Pf3D7_11_v3,1294074,826,1294900,3048.3801452784505,ama1-p74-384,97.57869249394672,2517962,806,4911,1012416
