barcode,chrom,start,length,end,mean_cov,name,cov_gr100_per,total_cov,cov_gr100,n_reads,sample_id
barcode01,Pf3D7_11_v3,1294074,826,1294900,3349.46004842615,ama1-p74-384,97.57869249394672,2766654,806,5179,3D7
barcode01,Pf3D7_13_v3,1724567,1286,1725853,19.493001555209958,kelch13-p383-727,0.0,25068,0,40,3D7
barcode02,Pf3D7_11_v3,1294074,826,1294900,1562.8619854721549,ama1-p74-384,97.57869249394672,1290924,806,2364,Dd2
barcode02,Pf3D7_13_v3,1724567,1286,1725853,382.7115085536548,kelch13-p383-727,98.13374805598755,492167,1262,675,Dd2
barcode03,Pf3D7_11_v3,1294074,826,1294900,2224.590799031477,ama1-p74-384,97.57869249394672,1837512,806,3417,HB3
barcode03,Pf3D7_13_v3,1724567,1286,1725853,686.3646967340591,kelch13-p383-727,98.21150855365474,882665,1263,1192,HB3
barcode04,Pf3D7_11_v3,1294074,826,1294900,1329.4394673123486,ama1-p74-384,97.45762711864408,1098117,805,2079,IPC3445
barcode04,Pf3D7_13_v3,1724567,1286,1725853,1299.028771384137,kelch13-p383-727,98.28926905132192,1670551,1264,2082,IPC3445
barcode05,Pf3D7_11_v3,1294074,826,1294900,1281.1682808716707,ama1-p74-384,97.57869249394672,1058245,806,1997,IPC3663
barcode05,Pf3D7_13_v3,1724567,1286,1725853,1177.8141524105754,kelch13-p383-727,98.05598755832035,1514669,1261,1946,IPC3663
barcode06,Pf3D7_11_v3,1294074,826,1294900,0.7832929782082324,ama1-p74-384,0.0,647,0,1,Human
barcode06,Pf3D7_13_v3,1724567,1286,1725853,0.0,kelch13-p383-727,0.0,0,0,0,Human
barcode07,Pf3D7_11_v3,1294074,826,1294900,0.5460048426150121,ama1-p74-384,0.0,451,0,1,NTC1
barcode07,Pf3D7_13_v3,1724567,1286,1725853,0.4097978227060653,kelch13-p383-727,0.0,527,0,1,NTC1
barcode08,Pf3D7_11_v3,1294074,826,1294900,0.5907990314769975,ama1-p74-384,0.0,488,0,1,NTC
barcode08,Pf3D7_13_v3,1724567,1286,1725853,0.0,kelch13-p383-727,0.0,0,0,0,NTC
barcode09,Pf3D7_11_v3,1294074,826,1294900,5954.910411622276,ama1-p74-384,97.82082324455206,4918756,808,10165,8012743
barcode09,Pf3D7_13_v3,1724567,1286,1725853,918.6555209953344,kelch13-p383-727,98.28926905132192,1181391,1264,1564,8012743
barcode10,Pf3D7_11_v3,1294074,826,1294900,1349.2118644067796,ama1-p74-384,97.57869249394672,1114449,806,2156,8012744
barcode10,Pf3D7_13_v3,1724567,1286,1725853,458.692068429238,kelch13-p383-727,98.13374805598755,589878,1262,819,8012744
barcode11,Pf3D7_11_v3,1294074,826,1294900,2230.443099273608,ama1-p74-384,97.57869249394672,1842346,806,3599,8012745
barcode11,Pf3D7_13_v3,1724567,1286,1725853,2729.5264385692067,kelch13-p383-727,98.4447900466563,3510171,1266,4361,8012745
