barcode,chrom,start,length,end,mean_cov,name,cov_gr100_per,total_cov,cov_gr100,n_reads,sample_id
barcode01,Pf3D7_11_v3,1294074,826,1294900,2846.325665859564,ama1-p74-384,97.57869249394672,2351065,806,4689,3D7_mpi
barcode01,Pf3D7_13_v3,1724567,1286,1725853,2767.027216174184,kelch13-p383-727,98.36702954898912,3558397,1265,5163,3D7_mpi
barcode02,Pf3D7_11_v3,1294074,826,1294900,2921.5677966101694,ama1-p74-384,97.82082324455206,2413215,808,4722,3D7
barcode02,Pf3D7_13_v3,1724567,1286,1725853,6090.53965785381,kelch13-p383-727,98.4447900466563,7832434,1266,10690,3D7
barcode03,Pf3D7_11_v3,1294074,826,1294900,2325.1125907990318,ama1-p74-384,97.57869249394672,1920543,806,3738,Dd2
barcode03,Pf3D7_13_v3,1724567,1286,1725853,3379.2122861586317,kelch13-p383-727,98.36702954898912,4345667,1265,6135,Dd2
barcode04,Pf3D7_11_v3,1294074,826,1294900,3539.6670702179176,ama1-p74-384,97.57869249394672,2923765,806,5329,HB3
barcode04,Pf3D7_13_v3,1724567,1286,1725853,7134.146189735614,kelch13-p383-727,98.4447900466563,9174512,1266,12157,HB3
barcode05,Pf3D7_11_v3,1294074,826,1294900,0.0,ama1-p74-384,0.0,0,0,0,human
barcode05,Pf3D7_13_v3,1724567,1286,1725853,0.0,kelch13-p383-727,0.0,0,0,0,human
barcode06,Pf3D7_11_v3,1294074,826,1294900,0.9322033898305084,ama1-p74-384,0.0,770,0,1,NTC
barcode06,Pf3D7_13_v3,1724567,1286,1725853,0.505443234836703,kelch13-p383-727,0.0,650,0,1,NTC
barcode07,Pf3D7_11_v3,1294074,826,1294900,5134.445520581114,ama1-p74-384,97.82082324455206,4241052,808,7806,8032583
barcode07,Pf3D7_13_v3,1724567,1286,1725853,4136.316485225506,kelch13-p383-727,98.36702954898912,5319303,1265,6967,8032583
barcode08,Pf3D7_11_v3,1294074,826,1294900,3965.490314769976,ama1-p74-384,97.82082324455206,3275495,808,6692,8032034
barcode08,Pf3D7_13_v3,1724567,1286,1725853,3814.454898911353,kelch13-p383-727,98.36702954898912,4905389,1265,6602,8032034
barcode09,Pf3D7_11_v3,1294074,826,1294900,2863.18401937046,ama1-p74-384,97.57869249394672,2364990,806,4835,8031772
barcode09,Pf3D7_13_v3,1724567,1286,1725853,2359.00233281493,kelch13-p383-727,98.28926905132192,3033677,1264,4378,8031772
barcode10,Pf3D7_11_v3,1294074,826,1294900,941.1210653753028,ama1-p74-384,97.09443099273608,777366,802,1527,8032335
barcode10,Pf3D7_13_v3,1724567,1286,1725853,1572.843701399689,kelch13-p383-727,98.28926905132192,2022677,1264,2765,8032335
barcode11,Pf3D7_11_v3,1294074,826,1294900,3778.8329297820815,ama1-p74-384,97.57869249394672,3121316,806,6196,8032594
barcode11,Pf3D7_13_v3,1724567,1286,1725853,2354.061430793157,kelch13-p383-727,98.28926905132192,3027323,1264,3989,8032594
barcode12,Pf3D7_11_v3,1294074,826,1294900,1967.8874092009685,ama1-p74-384,97.57869249394672,1625475,806,3417,8010560
barcode12,Pf3D7_13_v3,1724567,1286,1725853,1361.2480559875582,kelch13-p383-727,98.21150855365474,1750565,1263,2430,8010560
barcode13,Pf3D7_11_v3,1294074,826,1294900,4129.250605326876,ama1-p74-384,97.57869249394672,3410761,806,6655,8032005
barcode13,Pf3D7_13_v3,1724567,1286,1725853,1584.1213063763607,kelch13-p383-727,98.28926905132192,2037180,1264,2751,8032005
barcode14,Pf3D7_11_v3,1294074,826,1294900,2433.1707021791767,ama1-p74-384,97.57869249394672,2009799,806,4004,8032527
barcode14,Pf3D7_13_v3,1724567,1286,1725853,4835.409020217729,kelch13-p383-727,98.36702954898912,6218336,1265,8414,8032527
barcode15,Pf3D7_11_v3,1294074,826,1294900,3507.3571428571427,ama1-p74-384,97.6997578692494,2897077,807,6393,8010527
barcode15,Pf3D7_13_v3,1724567,1286,1725853,2079.179626749611,kelch13-p383-727,98.28926905132192,2673825,1264,3519,8010527
barcode16,Pf3D7_11_v3,1294074,826,1294900,1535.1150121065375,ama1-p74-384,97.45762711864408,1268005,805,2431,8032350
barcode16,Pf3D7_13_v3,1724567,1286,1725853,1826.4424572317264,kelch13-p383-727,98.28926905132192,2348805,1264,3094,8032350
barcode17,Pf3D7_11_v3,1294074,826,1294900,2896.121065375303,ama1-p74-384,97.57869249394672,2392196,806,4854,8032006
barcode17,Pf3D7_13_v3,1724567,1286,1725853,537.8203732503888,kelch13-p383-727,98.13374805598755,691637,1262,921,8032006
barcode18,Pf3D7_11_v3,1294074,826,1294900,2544.3498789346245,ama1-p74-384,97.57869249394672,2101633,806,4358,8010538
