barcode,chrom,start,length,end,mean_cov,name,cov_gr100_per,total_cov,cov_gr100,n_reads,sample_id
barcode01,Pf3D7_11_v3,1294074,826,1294900,5228.973365617433,ama1-p74-384,97.6997578692494,4319132,807,9734,3D7
barcode01,Pf3D7_13_v3,1724567,1286,1725853,3425.650077760498,kelch13-p383-727,98.28926905132192,4405386,1264,6839,3D7
barcode02,Pf3D7_11_v3,1294074,826,1294900,4629.575060532688,ama1-p74-384,97.57869249394672,3824029,806,8038,Dd2
barcode02,Pf3D7_13_v3,1724567,1286,1725853,1106.390357698289,kelch13-p383-727,98.13374805598755,1422818,1262,2149,Dd2
barcode03,Pf3D7_11_v3,1294074,826,1294900,4068.209443099274,ama1-p74-384,97.57869249394672,3360341,806,6911,HB3
barcode03,Pf3D7_13_v3,1724567,1286,1725853,8189.865474339036,kelch13-p383-727,98.4447900466563,10532167,1266,14968,HB3
barcode04,Pf3D7_11_v3,1294074,826,1294900,7174.854721549636,ama1-p74-384,97.6997578692494,5926430,807,11323,IPC3665
barcode04,Pf3D7_13_v3,1724567,1286,1725853,873.2503888024884,kelch13-p383-727,97.8227060653188,1123000,1258,1589,IPC3665
barcode05,Pf3D7_11_v3,1294074,826,1294900,1.6380145278450364,ama1-p74-384,0.0,1353,0,3,Human
barcode05,Pf3D7_13_v3,1724567,1286,1725853,0.916796267496112,kelch13-p383-727,0.0,1179,0,1,Human
barcode06,Pf3D7_11_v3,1294074,826,1294900,2.154963680387409,ama1-p74-384,0.0,1780,0,3,NTC
barcode06,Pf3D7_13_v3,1724567,1286,1725853,0.0,kelch13-p383-727,0.0,0,0,0,NTC
barcode07,Pf3D7_11_v3,1294074,826,1294900,246.03510895883775,ama1-p74-384,96.24697336561744,203225,795,441,8010581
barcode07,Pf3D7_13_v3,1724567,1286,1725853,7.804043545878693,kelch13-p383-727,0.0,10036,0,17,8010581
barcode08,Pf3D7_11_v3,1294074,826,1294900,358.3365617433414,ama1-p74-384,96.61016949152544,295986,798,740,8010583
