barcode,chrom,start,length,end,mean_cov,name,cov_gr100_per,total_cov,cov_gr100,n_reads,sample_id
barcode01,Pf3D7_11_v3,1294074,826,1294900,650.1598062953996,ama1-p74-384,97.21549636803874,537032,803,1113,3D7
barcode01,Pf3D7_13_v3,1724567,1286,1725853,734.959564541213,kelch13-p383-727,98.28926905132192,945158,1264,1346,3D7
barcode02,Pf3D7_11_v3,1294074,826,1294900,586.3014527845037,ama1-p74-384,97.09443099273608,484285,802,910,Dd2
barcode02,Pf3D7_13_v3,1724567,1286,1725853,477.7947122861586,kelch13-p383-727,98.21150855365474,614444,1263,813,Dd2
barcode03,Pf3D7_11_v3,1294074,826,1294900,1560.4903147699758,ama1-p74-384,97.57869249394672,1288965,806,2544,HB3
barcode03,Pf3D7_13_v3,1724567,1286,1725853,1085.1251944012442,kelch13-p383-727,98.28926905132192,1395471,1264,1964,HB3
barcode04,Pf3D7_11_v3,1294074,826,1294900,0.8728813559322034,ama1-p74-384,0.0,721,0,1,Human
barcode04,Pf3D7_13_v3,1724567,1286,1725853,1.6275272161741836,kelch13-p383-727,0.0,2093,0,2,Human
barcode05,Pf3D7_11_v3,1294074,826,1294900,0.0,ama1-p74-384,0.0,0,0,0,NTC1
barcode05,Pf3D7_13_v3,1724567,1286,1725853,0.0,kelch13-p383-727,0.0,0,0,0,NTC1
barcode06,Pf3D7_11_v3,1294074,826,1294900,0.0,ama1-p74-384,0.0,0,0,0,NTC2
barcode06,Pf3D7_13_v3,1724567,1286,1725853,0.0,kelch13-p383-727,0.0,0,0,0,NTC2
barcode07,Pf3D7_11_v3,1294074,826,1294900,0.0,ama1-p74-384,0.0,0,0,0,NTC3
barcode07,Pf3D7_13_v3,1724567,1286,1725853,0.5894245723172629,kelch13-p383-727,0.0,758,0,1,NTC3
barcode08,Pf3D7_11_v3,1294074,826,1294900,0.923728813559322,ama1-p74-384,0.0,763,0,2,NTC4
barcode08,Pf3D7_13_v3,1724567,1286,1725853,0.6127527216174183,kelch13-p383-727,0.0,788,0,1,NTC4
barcode09,Pf3D7_11_v3,1294074,826,1294900,2127.320823244552,ama1-p74-384,97.57869249394672,1757167,806,3540,01046791
barcode09,Pf3D7_13_v3,1724567,1286,1725853,1342.00466562986,kelch13-p383-727,98.28926905132192,1725818,1264,2376,01046791
barcode10,Pf3D7_11_v3,1294074,826,1294900,2216.452784503632,ama1-p74-384,97.57869249394672,1830790,806,3686,01046797
barcode10,Pf3D7_13_v3,1724567,1286,1725853,424.0264385692069,kelch13-p383-727,98.13374805598755,545298,1262,784,01046797
barcode11,Pf3D7_11_v3,1294074,826,1294900,2552.03995157385,ama1-p74-384,97.57869249394672,2107985,806,3930,01046798
barcode11,Pf3D7_13_v3,1724567,1286,1725853,1774.4603421461898,kelch13-p383-727,98.36702954898912,2281956,1265,2940,01046798
barcode12,Pf3D7_11_v3,1294074,826,1294900,1514.636803874092,ama1-p74-384,97.57869249394672,1251090,806,2536,01046799
barcode12,Pf3D7_13_v3,1724567,1286,1725853,1584.4377916018664,kelch13-p383-727,98.36702954898912,2037587,1265,2751,01046799
barcode13,Pf3D7_11_v3,1294074,826,1294900,1749.3680387409202,ama1-p74-384,97.57869249394672,1444978,806,2771,01046802
barcode13,Pf3D7_13_v3,1724567,1286,1725853,1301.8351477449455,kelch13-p383-727,98.28926905132192,1674160,1264,2226,01046802
barcode14,Pf3D7_11_v3,1294074,826,1294900,2907.3692493946733,ama1-p74-384,97.6997578692494,2401487,807,4864,01046803
barcode14,Pf3D7_13_v3,1724567,1286,1725853,1086.109642301711,kelch13-p383-727,98.28926905132192,1396737,1264,1960,01046803
barcode15,Pf3D7_11_v3,1294074,826,1294900,1919.6937046004844,ama1-p74-384,97.57869249394672,1585667,806,3103,01046804
barcode15,Pf3D7_13_v3,1724567,1286,1725853,699.1695178849145,kelch13-p383-727,98.28926905132192,899132,1264,1220,01046804
barcode16,Pf3D7_11_v3,1294074,826,1294900,2785.309927360775,ama1-p74-384,97.6997578692494,2300666,807,4886,01046805
barcode16,Pf3D7_13_v3,1724567,1286,1725853,2290.7503888024885,kelch13-p383-727,98.4447900466563,2945905,1266,3849,01046805
barcode17,Pf3D7_11_v3,1294074,826,1294900,1758.497578692494,ama1-p74-384,97.57869249394672,1452519,806,3079,5053639
barcode17,Pf3D7_13_v3,1724567,1286,1725853,1815.1360808709176,kelch13-p383-727,98.36702954898912,2334265,1265,3150,5053639
barcode18,Pf3D7_11_v3,1294074,826,1294900,2276.269975786925,ama1-p74-384,97.57869249394672,1880199,806,3666,5053640
barcode18,Pf3D7_13_v3,1724567,1286,1725853,1492.3856920684293,kelch13-p383-727,98.36702954898912,1919208,1265,2556,5053640
barcode19,Pf3D7_11_v3,1294074,826,1294900,2619.549636803874,ama1-p74-384,97.6997578692494,2163748,807,4257,5053641
barcode19,Pf3D7_13_v3,1724567,1286,1725853,1257.606531881804,kelch13-p383-727,98.28926905132192,1617282,1264,2152,5053641
barcode20,Pf3D7_11_v3,1294074,826,1294900,0.7723970944309927,ama1-p74-384,0.0,638,0,1,5053642
barcode20,Pf3D7_13_v3,1724567,1286,1725853,0.0,kelch13-p383-727,0.0,0,0,0,5053642
barcode21,Pf3D7_11_v3,1294074,826,1294900,1099.766343825666,ama1-p74-384,97.3365617433414,908407,804,1853,5053643
barcode21,Pf3D7_13_v3,1724567,1286,1725853,2276.152410575428,kelch13-p383-727,98.4447900466563,2927132,1266,4059,5053643
barcode22,Pf3D7_11_v3,1294074,826,1294900,2281.766343825666,ama1-p74-384,97.57869249394672,1884739,806,3648,5053645
barcode22,Pf3D7_13_v3,1724567,1286,1725853,1753.3631415241057,kelch13-p383-727,98.36702954898912,2254825,1265,3056,5053645
barcode23,Pf3D7_11_v3,1294074,826,1294900,2242.096852300242,ama1-p74-384,97.57869249394672,1851972,806,3495,5053646
barcode23,Pf3D7_13_v3,1724567,1286,1725853,153.02954898911352,kelch13-p383-727,83.90357698289269,196796,1079,270,5053646
barcode24,Pf3D7_11_v3,1294074,826,1294900,1596.453995157385,ama1-p74-384,97.57869249394672,1318671,806,2733,5053647
barcode24,Pf3D7_13_v3,1724567,1286,1725853,238.12908242612752,kelch13-p383-727,98.13374805598755,306234,1262,466,5053647
barcode25,Pf3D7_11_v3,1294074,826,1294900,2099.8329297820824,ama1-p74-384,97.57869249394672,1734462,806,3557,5053648
barcode25,Pf3D7_13_v3,1724567,1286,1725853,1465.213063763608,kelch13-p383-727,98.36702954898912,1884264,1265,2485,5053648
barcode26,Pf3D7_11_v3,1294074,826,1294900,1536.9951573849878,ama1-p74-384,97.57869249394672,1269558,806,2463,01053971
barcode26,Pf3D7_13_v3,1724567,1286,1725853,2534.0489891135303,kelch13-p383-727,98.4447900466563,3258787,1266,4246,01053971
barcode27,Pf3D7_11_v3,1294074,826,1294900,565.3414043583535,ama1-p74-384,96.97336561743342,466972,801,970,01053943
barcode27,Pf3D7_13_v3,1724567,1286,1725853,462.34836702954897,kelch13-p383-727,98.13374805598755,594580,1262,817,01053943
barcode28,Pf3D7_11_v3,1294074,826,1294900,0.7421307506053268,ama1-p74-384,0.0,613,0,1,5053676
barcode28,Pf3D7_13_v3,1724567,1286,1725853,0.0,kelch13-p383-727,0.0,0,0,0,5053676
barcode29,Pf3D7_11_v3,1294074,826,1294900,0.0,ama1-p74-384,0.0,0,0,0,01045435
barcode29,Pf3D7_13_v3,1724567,1286,1725853,5.564541213063763,kelch13-p383-727,0.0,7156,0,14,01045435
barcode30,Pf3D7_11_v3,1294074,826,1294900,1534.4866828087168,ama1-p74-384,97.57869249394672,1267486,806,2401,01045436
barcode30,Pf3D7_13_v3,1724567,1286,1725853,915.706065318818,kelch13-p383-727,98.28926905132192,1177598,1264,1625,01045436
barcode31,Pf3D7_11_v3,1294074,826,1294900,1848.554479418886,ama1-p74-384,97.57869249394672,1526906,806,2780,01045437
barcode31,Pf3D7_13_v3,1724567,1286,1725853,1139.9362363919129,kelch13-p383-727,98.28926905132192,1465958,1264,1838,01045437
barcode32,Pf3D7_11_v3,1294074,826,1294900,79.53753026634382,ama1-p74-384,25.90799031476997,65698,214,128,01045438
barcode32,Pf3D7_13_v3,1724567,1286,1725853,321.8188180404355,kelch13-p383-727,97.97822706065318,413859,1260,566,01045438
barcode33,Pf3D7_11_v3,1294074,826,1294900,1487.1573849878937,ama1-p74-384,97.57869249394672,1228392,806,2254,01045439
barcode33,Pf3D7_13_v3,1724567,1286,1725853,1275.4230171073095,kelch13-p383-727,98.36702954898912,1640194,1265,2193,01045439
barcode34,Pf3D7_11_v3,1294074,826,1294900,994.0665859564164,ama1-p74-384,97.3365617433414,821099,804,1620,01045440
barcode34,Pf3D7_13_v3,1724567,1286,1725853,318.8203732503888,kelch13-p383-727,97.74494556765164,410003,1257,561,01045440
barcode35,Pf3D7_11_v3,1294074,826,1294900,2417.7554479418886,ama1-p74-384,97.57869249394672,1997066,806,3832,01045433
barcode35,Pf3D7_13_v3,1724567,1286,1725853,407.5668740279938,kelch13-p383-727,98.13374805598755,524131,1262,711,01045433
barcode36,Pf3D7_11_v3,1294074,826,1294900,502.98426150121065,ama1-p74-384,97.09443099273608,415465,802,796,01045446
barcode36,Pf3D7_13_v3,1724567,1286,1725853,84.50155520995334,kelch13-p383-727,34.758942457231726,108669,447,153,01045446
barcode37,Pf3D7_11_v3,1294074,826,1294900,1394.1694915254238,ama1-p74-384,97.57869249394672,1151584,806,2071,01045447
barcode37,Pf3D7_13_v3,1724567,1286,1725853,481.4968895800933,kelch13-p383-727,98.13374805598755,619205,1262,798,01045447
barcode38,Pf3D7_11_v3,1294074,826,1294900,2397.361985472155,ama1-p74-384,97.6997578692494,1980221,807,4269,01045448
barcode38,Pf3D7_13_v3,1724567,1286,1725853,1766.9797822706066,kelch13-p383-727,98.4447900466563,2272336,1266,3080,01045448
barcode39,Pf3D7_11_v3,1294074,826,1294900,1676.31598062954,ama1-p74-384,97.57869249394672,1384637,806,2649,01045449
barcode39,Pf3D7_13_v3,1724567,1286,1725853,658.2908242612752,kelch13-p383-727,98.21150855365474,846562,1263,1137,01045449
barcode40,Pf3D7_11_v3,1294074,826,1294900,1139.5629539951574,ama1-p74-384,97.57869249394672,941279,806,1865,01045451
