barcode,chrom,start,length,end,mean_cov,name,cov_gr100_per,total_cov,cov_gr100,n_reads,sample_id
barcode01,Pf3D7_11_v3,1294074,826,1294900,952.1065375302665,ama1-p74-384,97.45762711864408,786440,805,1541,3D7a
barcode01,Pf3D7_13_v3,1724567,1286,1725853,1708.1912908242614,kelch13-p383-727,98.28926905132192,2196734,1264,3030,3D7a
barcode02,Pf3D7_11_v3,1294074,826,1294900,804.4406779661017,ama1-p74-384,97.09443099273608,664468,802,1292,Dd2a
barcode02,Pf3D7_13_v3,1724567,1286,1725853,852.9315707620528,kelch13-p383-727,98.13374805598755,1096870,1262,1509,Dd2a
barcode03,Pf3D7_11_v3,1294074,826,1294900,772.3910411622276,ama1-p74-384,97.21549636803874,637995,803,1234,HB3a
barcode03,Pf3D7_13_v3,1724567,1286,1725853,856.5730948678072,kelch13-p383-727,98.21150855365474,1101553,1263,1506,HB3a
barcode04,Pf3D7_11_v3,1294074,826,1294900,752.6949152542373,ama1-p74-384,97.09443099273608,621726,802,1195,IPC3445a
barcode04,Pf3D7_13_v3,1724567,1286,1725853,2297.8071539657853,kelch13-p383-727,98.28926905132192,2954980,1264,3760,IPC3445a
barcode05,Pf3D7_11_v3,1294074,826,1294900,530.5024213075061,ama1-p74-384,97.09443099273608,438195,802,857,IPC3663a
barcode05,Pf3D7_13_v3,1724567,1286,1725853,1498.1244167962675,kelch13-p383-727,98.13374805598755,1926588,1262,2558,IPC3663a
barcode06,Pf3D7_11_v3,1294074,826,1294900,0.0,ama1-p74-384,0.0,0,0,0,Humana
barcode06,Pf3D7_13_v3,1724567,1286,1725853,0.0,kelch13-p383-727,0.0,0,0,0,Humana
barcode07,Pf3D7_11_v3,1294074,826,1294900,0.0,ama1-p74-384,0.0,0,0,0,NTCa
barcode07,Pf3D7_13_v3,1724567,1286,1725853,0.4611197511664074,kelch13-p383-727,0.0,593,0,1,NTCa
barcode08,Pf3D7_11_v3,1294074,826,1294900,0.0,ama1-p74-384,0.0,0,0,0,NTCb
barcode08,Pf3D7_13_v3,1724567,1286,1725853,0.0,kelch13-p383-727,0.0,0,0,0,NTCb
barcode09,Pf3D7_11_v3,1294074,826,1294900,2501.732445520581,ama1-p74-384,97.6997578692494,2066431,807,4525,1039196
barcode09,Pf3D7_13_v3,1724567,1286,1725853,1451.7472783825815,kelch13-p383-727,98.28926905132192,1866947,1264,2638,1039196
barcode10,Pf3D7_11_v3,1294074,826,1294900,1193.175544794189,ama1-p74-384,97.3365617433414,985563,804,1973,1039181
barcode10,Pf3D7_13_v3,1724567,1286,1725853,757.0707620528772,kelch13-p383-727,97.97822706065318,973593,1260,1414,1039181
barcode11,Pf3D7_11_v3,1294074,826,1294900,1665.445520581114,ama1-p74-384,97.57869249394672,1375658,806,2641,1039198
barcode11,Pf3D7_13_v3,1724567,1286,1725853,1937.4206842923795,kelch13-p383-727,98.28926905132192,2491523,1264,3314,1039198
barcode12,Pf3D7_11_v3,1294074,826,1294900,0.0,ama1-p74-384,0.0,0,0,0,1039183
barcode12,Pf3D7_13_v3,1724567,1286,1725853,0.0,kelch13-p383-727,0.0,0,0,0,1039183
barcode13,Pf3D7_11_v3,1294074,826,1294900,1403.2191283292975,ama1-p74-384,97.57869249394672,1159059,806,2171,1039151
barcode13,Pf3D7_13_v3,1724567,1286,1725853,1317.4898911353032,kelch13-p383-727,98.28926905132192,1694292,1264,2257,1039151
barcode14,Pf3D7_11_v3,1294074,826,1294900,1469.7433414043585,ama1-p74-384,97.57869249394672,1214008,806,2436,1039172
barcode14,Pf3D7_13_v3,1724567,1286,1725853,1640.8382581648525,kelch13-p383-727,98.28926905132192,2110118,1264,2909,1039172
barcode15,Pf3D7_11_v3,1294074,826,1294900,1272.364406779661,ama1-p74-384,97.45762711864408,1050973,805,2079,1039157
barcode15,Pf3D7_13_v3,1724567,1286,1725853,378.7006220839813,kelch13-p383-727,97.58942457231726,487009,1255,698,1039157
barcode16,Pf3D7_11_v3,1294074,826,1294900,1328.0726392251815,ama1-p74-384,97.45762711864408,1096988,805,2063,1039153
barcode16,Pf3D7_13_v3,1724567,1286,1725853,2033.3732503888025,kelch13-p383-727,98.28926905132192,2614918,1264,3485,1039153
barcode17,Pf3D7_11_v3,1294074,826,1294900,1271.0641646489105,ama1-p74-384,97.57869249394672,1049899,806,2137,8021793
barcode17,Pf3D7_13_v3,1724567,1286,1725853,865.1166407465008,kelch13-p383-727,98.21150855365474,1112540,1263,1439,8021793
barcode18,Pf3D7_11_v3,1294074,826,1294900,1068.996368038741,ama1-p74-384,97.3365617433414,882991,804,1811,8021802
barcode18,Pf3D7_13_v3,1724567,1286,1725853,729.6524105754277,kelch13-p383-727,98.05598755832035,938333,1261,1299,8021802
barcode19,Pf3D7_11_v3,1294074,826,1294900,1924.90799031477,ama1-p74-384,97.57869249394672,1589974,806,3054,1039191
barcode19,Pf3D7_13_v3,1724567,1286,1725853,1768.1741835147743,kelch13-p383-727,98.28926905132192,2273872,1264,3022,1039191
barcode20,Pf3D7_11_v3,1294074,826,1294900,1167.912832929782,ama1-p74-384,97.57869249394672,964696,806,1936,8021801
barcode20,Pf3D7_13_v3,1724567,1286,1725853,2052.835925349922,kelch13-p383-727,98.28926905132192,2639947,1264,3408,8021801
barcode21,Pf3D7_11_v3,1294074,826,1294900,1458.7905569007264,ama1-p74-384,97.57869249394672,1204961,806,2344,8021795
barcode21,Pf3D7_13_v3,1724567,1286,1725853,1418.0894245723173,kelch13-p383-727,98.28926905132192,1823663,1264,2388,8021795
barcode22,Pf3D7_11_v3,1294074,826,1294900,709.4491525423729,ama1-p74-384,97.3365617433414,586005,804,1363,8021792
barcode22,Pf3D7_13_v3,1724567,1286,1725853,460.4113530326594,kelch13-p383-727,98.05598755832035,592089,1261,868,8021792
barcode23,Pf3D7_11_v3,1294074,826,1294900,1396.006053268765,ama1-p74-384,97.57869249394672,1153101,806,2144,8021789
