barcode,chrom,start,length,end,mean_cov,name,cov_gr100_per,total_cov,cov_gr100,n_reads,sample_id
barcode01,Pf3D7_11_v3,1294074,826,1294900,3787.722760290557,ama1-p74-384,97.6997578692494,3128659,807,6462,8035661
barcode01,Pf3D7_13_v3,1724567,1286,1725853,4430.290824261276,kelch13-p383-727,98.4447900466563,5697354,1266,7818,8035661
barcode02,Pf3D7_11_v3,1294074,826,1294900,6978.938256658596,ama1-p74-384,97.82082324455206,5764603,808,11192,8035641
barcode02,Pf3D7_13_v3,1724567,1286,1725853,7483.294712286159,kelch13-p383-727,98.4447900466563,9623517,1266,13032,8035641
barcode03,Pf3D7_11_v3,1294074,826,1294900,5771.541162227603,ama1-p74-384,97.82082324455206,4767293,808,9507,8035627
barcode03,Pf3D7_13_v3,1724567,1286,1725853,4484.262052877139,kelch13-p383-727,98.4447900466563,5766761,1266,8068,8035627
barcode04,Pf3D7_11_v3,1294074,826,1294900,7324.083535108959,ama1-p74-384,97.82082324455206,6049693,808,11366,8035660
barcode04,Pf3D7_13_v3,1724567,1286,1725853,6206.97900466563,kelch13-p383-727,98.4447900466563,7982175,1266,10678,8035660
barcode05,Pf3D7_11_v3,1294074,826,1294900,5141.602905569007,ama1-p74-384,97.82082324455206,4246964,808,8413,8035695
barcode05,Pf3D7_13_v3,1724567,1286,1725853,5446.695178849144,kelch13-p383-727,98.4447900466563,7004450,1266,9670,8035695
barcode06,Pf3D7_11_v3,1294074,826,1294900,4520.940677966101,ama1-p74-384,97.6997578692494,3734297,807,7596,8035690
barcode06,Pf3D7_13_v3,1724567,1286,1725853,8389.084758942457,kelch13-p383-727,98.4447900466563,10788363,1266,14946,8035690
barcode07,Pf3D7_11_v3,1294074,826,1294900,5250.4685230024215,ama1-p74-384,97.82082324455206,4336887,808,8690,8035652
barcode07,Pf3D7_13_v3,1724567,1286,1725853,3613.680404354588,kelch13-p383-727,98.4447900466563,4647193,1266,6667,8035652
barcode08,Pf3D7_11_v3,1294074,826,1294900,3769.353510895884,ama1-p74-384,97.57869249394672,3113486,806,6324,8035684
barcode08,Pf3D7_13_v3,1724567,1286,1725853,998.7900466562986,kelch13-p383-727,98.05598755832035,1284444,1261,1895,8035684
barcode09,Pf3D7_11_v3,1294074,826,1294900,3470.9406779661017,ama1-p74-384,97.6997578692494,2866997,807,6326,8035662
barcode09,Pf3D7_13_v3,1724567,1286,1725853,3729.7846034214617,kelch13-p383-727,98.4447900466563,4796503,1266,6982,8035662
barcode10,Pf3D7_11_v3,1294074,826,1294900,1096.3934624697335,ama1-p74-384,97.57869249394672,905621,806,1913,8035622
barcode10,Pf3D7_13_v3,1724567,1286,1725853,3298.0839813374805,kelch13-p383-727,98.36702954898912,4241336,1265,6121,8035622
barcode11,Pf3D7_11_v3,1294074,826,1294900,3139.261501210654,ama1-p74-384,97.6997578692494,2593030,807,5365,8035659
barcode11,Pf3D7_13_v3,1724567,1286,1725853,7010.236391912908,kelch13-p383-727,98.4447900466563,9015164,1266,11959,8035659
barcode12,Pf3D7_11_v3,1294074,826,1294900,1872.0411622276029,ama1-p74-384,97.57869249394672,1546306,806,3171,8035643
barcode12,Pf3D7_13_v3,1724567,1286,1725853,2587.893468118196,kelch13-p383-727,98.36702954898912,3328031,1265,4692,8035643
barcode13,Pf3D7_11_v3,1294074,826,1294900,2876.5992736077483,ama1-p74-384,97.57869249394672,2376071,806,4900,8035677
barcode13,Pf3D7_13_v3,1724567,1286,1725853,6519.768273716952,kelch13-p383-727,98.4447900466563,8384422,1266,11751,8035677
barcode14,Pf3D7_11_v3,1294074,826,1294900,2979.749394673124,ama1-p74-384,97.6997578692494,2461273,807,5516,8035630
barcode14,Pf3D7_13_v3,1724567,1286,1725853,8770.398911353033,kelch13-p383-727,98.4447900466563,11278733,1266,16015,8035630
barcode15,Pf3D7_11_v3,1294074,826,1294900,9.535108958837773,ama1-p74-384,0.0,7876,0,22,8035678
barcode15,Pf3D7_13_v3,1724567,1286,1725853,3.4121306376360807,kelch13-p383-727,0.0,4388,0,6,8035678
barcode16,Pf3D7_11_v3,1294074,826,1294900,1204.906779661017,ama1-p74-384,97.45762711864408,995253,805,2082,8035639
barcode16,Pf3D7_13_v3,1724567,1286,1725853,5187.823483670296,kelch13-p383-727,98.36702954898912,6671541,1265,9699,8035639
