barcode,chrom,start,length,end,mean_cov,name,cov_gr100_per,total_cov,cov_gr100,n_reads,sample_id
barcode49,Pf3D7_11_v3,1294074,826,1294900,3098.222760290557,ama1-p74-384,97.6997578692494,2559132,807,4989,3D7
barcode49,Pf3D7_13_v3,1724567,1286,1725853,2204.615863141524,kelch13-p383-727,98.4447900466563,2835136,1266,3940,3D7
barcode50,Pf3D7_11_v3,1294074,826,1294900,3381.404358353511,ama1-p74-384,97.57869249394672,2793040,806,5498,Dd2
barcode50,Pf3D7_13_v3,1724567,1286,1725853,4857.989113530327,kelch13-p383-727,98.60031104199066,6247374,1268,8482,Dd2
barcode51,Pf3D7_11_v3,1294074,826,1294900,3569.9697336561744,ama1-p74-384,97.6997578692494,2948795,807,5577,HB3
barcode51,Pf3D7_13_v3,1724567,1286,1725853,4169.00466562986,kelch13-p383-727,98.52255054432348,5361340,1267,7147,HB3
barcode52,Pf3D7_11_v3,1294074,826,1294900,3.539951573849879,ama1-p74-384,0.0,2924,0,6,humanDNA
barcode52,Pf3D7_13_v3,1724567,1286,1725853,11.286936236391911,kelch13-p383-727,0.0,14515,0,17,humanDNA
barcode53,Pf3D7_11_v3,1294074,826,1294900,6.37409200968523,ama1-p74-384,0.0,5265,0,10,NTC
barcode53,Pf3D7_13_v3,1724567,1286,1725853,7.99144634525661,kelch13-p383-727,0.0,10277,0,12,NTC
barcode54,Pf3D7_11_v3,1294074,826,1294900,1675.5556900726392,ama1-p74-384,97.45762711864408,1384009,805,2668,8031800
barcode54,Pf3D7_13_v3,1724567,1286,1725853,2499.825038880249,kelch13-p383-727,98.4447900466563,3214775,1266,4149,8031800
barcode55,Pf3D7_11_v3,1294074,826,1294900,5725.446731234867,ama1-p74-384,97.82082324455206,4729219,808,8771,8010577
barcode55,Pf3D7_13_v3,1724567,1286,1725853,11390.889580093311,kelch13-p383-727,98.60031104199066,14648684,1268,19190,8010577
barcode56,Pf3D7_11_v3,1294074,826,1294900,5393.661016949152,ama1-p74-384,97.82082324455206,4455164,808,8592,8031768
barcode56,Pf3D7_13_v3,1724567,1286,1725853,8390.048211508554,kelch13-p383-727,98.60031104199066,10789602,1268,13993,8031768
barcode57,Pf3D7_11_v3,1294074,826,1294900,3934.963680387409,ama1-p74-384,97.6997578692494,3250280,807,6156,8032348
barcode57,Pf3D7_13_v3,1724567,1286,1725853,7242.548211508553,kelch13-p383-727,98.60031104199066,9313917,1268,12224,8032348
barcode58,Pf3D7_11_v3,1294074,826,1294900,2214.466101694916,ama1-p74-384,97.57869249394672,1829149,806,3838,8010570
barcode58,Pf3D7_13_v3,1724567,1286,1725853,2677.136080870918,kelch13-p383-727,98.4447900466563,3442797,1266,4621,8010570
barcode59,Pf3D7_11_v3,1294074,826,1294900,3517.836561743341,ama1-p74-384,97.57869249394672,2905733,806,5504,8032032
barcode59,Pf3D7_13_v3,1724567,1286,1725853,5826.461119751167,kelch13-p383-727,98.60031104199066,7492829,1268,9914,8032032
barcode60,Pf3D7_11_v3,1294074,826,1294900,2720.110169491525,ama1-p74-384,97.57869249394672,2246811,806,4750,8010525
barcode60,Pf3D7_13_v3,1724567,1286,1725853,3543.2954898911357,kelch13-p383-727,98.4447900466563,4556678,1266,6254,8010525
barcode61,Pf3D7_11_v3,1294074,826,1294900,4454.734866828087,ama1-p74-384,98.0629539951574,3679611,810,7717,8031785
barcode61,Pf3D7_13_v3,1724567,1286,1725853,4433.178849144634,kelch13-p383-727,98.52255054432348,5701068,1267,7831,8031785
barcode62,Pf3D7_11_v3,1294074,826,1294900,2139.127118644068,ama1-p74-384,97.45762711864408,1766919,805,3560,8032301
barcode62,Pf3D7_13_v3,1724567,1286,1725853,1989.3880248833595,kelch13-p383-727,98.4447900466563,2558353,1266,3378,8032301
barcode63,Pf3D7_11_v3,1294074,826,1294900,4969.162227602906,ama1-p74-384,97.82082324455206,4104528,808,7961,8032592
barcode63,Pf3D7_13_v3,1724567,1286,1725853,6489.956454121307,kelch13-p383-727,98.60031104199066,8346084,1268,11205,8032592
barcode64,Pf3D7_11_v3,1294074,826,1294900,3801.501210653753,ama1-p74-384,97.6997578692494,3140040,807,6098,8010576
barcode64,Pf3D7_13_v3,1724567,1286,1725853,6459.526438569207,kelch13-p383-727,98.60031104199066,8306951,1268,11191,8010576
barcode65,Pf3D7_11_v3,1294074,826,1294900,5658.830508474576,ama1-p74-384,98.0629539951574,4674194,810,9482,8010516
barcode65,Pf3D7_13_v3,1724567,1286,1725853,6338.870139968896,kelch13-p383-727,98.60031104199066,8151787,1268,10733,8010516
barcode66,Pf3D7_11_v3,1294074,826,1294900,3397.5230024213074,ama1-p74-384,97.6997578692494,2806354,807,5373,8032010
barcode66,Pf3D7_13_v3,1724567,1286,1725853,3456.706065318818,kelch13-p383-727,98.4447900466563,4445324,1266,5790,8032010
barcode67,Pf3D7_11_v3,1294074,826,1294900,3577.269975786925,ama1-p74-384,97.6997578692494,2954825,807,5664,8010526
barcode67,Pf3D7_13_v3,1724567,1286,1725853,4521.991446345257,kelch13-p383-727,98.52255054432348,5815281,1267,7669,8010526
barcode68,Pf3D7_11_v3,1294074,826,1294900,3272.817191283293,ama1-p74-384,97.6997578692494,2703347,807,5299,8032027
barcode68,Pf3D7_13_v3,1724567,1286,1725853,6366.52099533437,kelch13-p383-727,98.60031104199066,8187346,1268,10975,8032027
barcode69,Pf3D7_11_v3,1294074,826,1294900,3455.4939467312347,ama1-p74-384,97.6997578692494,2854238,807,5655,8010573
barcode69,Pf3D7_13_v3,1724567,1286,1725853,4941.194401244168,kelch13-p383-727,98.60031104199066,6354376,1268,8463,8010573
barcode70,Pf3D7_11_v3,1294074,826,1294900,4143.541162227603,ama1-p74-384,97.94188861985472,3422565,809,7234,8010578
barcode70,Pf3D7_13_v3,1724567,1286,1725853,3906.7107309486782,kelch13-p383-727,98.52255054432348,5024030,1267,6726,8010578
barcode71,Pf3D7_11_v3,1294074,826,1294900,3772.346246973365,ama1-p74-384,97.6997578692494,3115958,807,5984,8032555
barcode71,Pf3D7_13_v3,1724567,1286,1725853,6506.5839813374805,kelch13-p383-727,98.60031104199066,8367467,1268,11182,8032555
barcode72,Pf3D7_11_v3,1294074,826,1294900,3678.572639225182,ama1-p74-384,97.6997578692494,3038501,807,6249,8032037
barcode72,Pf3D7_13_v3,1724567,1286,1725853,5068.961897356143,kelch13-p383-727,98.52255054432348,6518685,1267,8761,8032037
barcode73,Pf3D7_11_v3,1294074,826,1294900,3659.955205811138,ama1-p74-384,97.6997578692494,3023123,807,5995,8032543
