barcode,chrom,start,length,end,mean_cov,name,cov_gr100_per,total_cov,cov_gr100,n_reads,sample_id
barcode01,Pf3D7_11_v3,1294074,826,1294900,5866.995157384988,ama1-p74-384,97.6997578692494,4846138,807,9794,3D7
barcode01,Pf3D7_13_v3,1724567,1286,1725853,348.5575427682737,kelch13-p383-727,97.51166407465008,448245,1254,646,3D7
barcode02,Pf3D7_11_v3,1294074,826,1294900,7065.509685230024,ama1-p74-384,97.82082324455206,5836111,808,11534,Dd2
barcode02,Pf3D7_13_v3,1724567,1286,1725853,901.8351477449456,kelch13-p383-727,98.13374805598755,1159760,1262,1602,Dd2
barcode03,Pf3D7_11_v3,1294074,826,1294900,5936.391041162227,ama1-p74-384,97.82082324455206,4903459,808,9867,HB3
barcode03,Pf3D7_13_v3,1724567,1286,1725853,1525.325038880249,kelch13-p383-727,98.28926905132192,1961568,1264,2719,HB3
barcode04,Pf3D7_11_v3,1294074,826,1294900,1.3026634382566586,ama1-p74-384,0.0,1076,0,2,human
barcode04,Pf3D7_13_v3,1724567,1286,1725853,0.0,kelch13-p383-727,0.0,0,0,0,human
barcode05,Pf3D7_11_v3,1294074,826,1294900,1.585956416464891,ama1-p74-384,0.0,1310,0,2,NTC-a
barcode05,Pf3D7_13_v3,1724567,1286,1725853,0.0,kelch13-p383-727,0.0,0,0,0,NTC-a
barcode06,Pf3D7_11_v3,1294074,826,1294900,763.9237288135594,ama1-p74-384,97.09443099273608,631001,802,1277,8010765
barcode06,Pf3D7_13_v3,1724567,1286,1725853,29.30248833592535,kelch13-p383-727,0.0,37683,0,52,8010765
barcode07,Pf3D7_11_v3,1294074,826,1294900,2449.951573849879,ama1-p74-384,97.57869249394672,2023660,806,3988,8010771
barcode07,Pf3D7_13_v3,1724567,1286,1725853,27.616640746500774,kelch13-p383-727,0.0,35515,0,56,8010771
barcode08,Pf3D7_11_v3,1294074,826,1294900,2315.411622276029,ama1-p74-384,97.57869249394672,1912530,806,3896,8010772
barcode08,Pf3D7_13_v3,1724567,1286,1725853,24.46034214618973,kelch13-p383-727,0.0,31456,0,42,8010772
barcode09,Pf3D7_11_v3,1294074,826,1294900,11895.070217917675,ama1-p74-384,97.82082324455206,9825328,808,19162,8011502
barcode09,Pf3D7_13_v3,1724567,1286,1725853,86.06998444790047,kelch13-p383-727,34.21461897356143,110686,440,149,8011502
barcode10,Pf3D7_11_v3,1294074,826,1294900,9017.61622276029,ama1-p74-384,97.82082324455206,7448551,808,15749,8011505
barcode10,Pf3D7_13_v3,1724567,1286,1725853,352.9688958009331,kelch13-p383-727,97.8227060653188,453918,1258,693,8011505
barcode11,Pf3D7_11_v3,1294074,826,1294900,9191.690072639223,ama1-p74-384,97.94188861985472,7592336,809,16280,8011548
barcode11,Pf3D7_13_v3,1724567,1286,1725853,990.5412130637636,kelch13-p383-727,98.21150855365474,1273836,1263,1723,8011548
barcode12,Pf3D7_11_v3,1294074,826,1294900,2062.7881355932204,ama1-p74-384,97.45762711864408,1703863,805,3368,8011756
barcode12,Pf3D7_13_v3,1724567,1286,1725853,2.7807153965785383,kelch13-p383-727,0.0,3576,0,6,8011756
barcode13,Pf3D7_11_v3,1294074,826,1294900,7174.77602905569,ama1-p74-384,97.82082324455206,5926365,808,11779,8011762
barcode13,Pf3D7_13_v3,1724567,1286,1725853,19.82270606531882,kelch13-p383-727,0.0,25492,0,39,8011762
barcode14,Pf3D7_11_v3,1294074,826,1294900,198.0411622276029,ama1-p74-384,94.6731234866828,163582,782,319,8011764
barcode14,Pf3D7_13_v3,1724567,1286,1725853,0.9517884914463453,kelch13-p383-727,0.0,1224,0,1,8011764
barcode15,Pf3D7_11_v3,1294074,826,1294900,6722.041162227603,ama1-p74-384,97.82082324455206,5552406,808,11896,8031547
barcode15,Pf3D7_13_v3,1724567,1286,1725853,394.1174183514775,kelch13-p383-727,97.97822706065318,506835,1260,682,8031547
barcode16,Pf3D7_11_v3,1294074,826,1294900,6243.337772397094,ama1-p74-384,97.82082324455206,5156997,808,10119,8031549
barcode16,Pf3D7_13_v3,1724567,1286,1725853,1727.7838258164852,kelch13-p383-727,98.28926905132192,2221930,1264,2887,8031549
barcode17,Pf3D7_11_v3,1294074,826,1294900,6666.32808716707,ama1-p74-384,97.94188861985472,5506387,809,11685,8031555
