barcode,chrom,start,length,end,mean_cov,name,cov_gr100_per,total_cov,cov_gr100,n_reads
barcode01,Pf3D7_11_v3,1294074,826,1294900,2553.866828087167,ama1-p74-384,97.57869249394672,2109494,806,4806
barcode01,Pf3D7_13_v3,1724567,1286,1725853,3491.859253499222,kelch13-p383-727,98.28926905132192,4490531,1264,7367
barcode02,Pf3D7_11_v3,1294074,826,1294900,1885.1077481840196,ama1-p74-384,97.45762711864408,1557099,805,3497
barcode02,Pf3D7_13_v3,1724567,1286,1725853,3029.143079315708,kelch13-p383-727,98.28926905132192,3895478,1264,6161
barcode03,Pf3D7_11_v3,1294074,826,1294900,1731.450363196126,ama1-p74-384,97.45762711864408,1430178,805,3195
barcode03,Pf3D7_13_v3,1724567,1286,1725853,4757.137636080871,kelch13-p383-727,98.36702954898912,6117679,1265,9631
barcode04,Pf3D7_11_v3,1294074,826,1294900,0.4019370460048426,ama1-p74-384,0.0,332,0,1
barcode04,Pf3D7_13_v3,1724567,1286,1725853,0.0,kelch13-p383-727,0.0,0,0,0
barcode05,Pf3D7_11_v3,1294074,826,1294900,0.4200968523002421,ama1-p74-384,0.0,347,0,1
barcode05,Pf3D7_13_v3,1724567,1286,1725853,2.3950233281493003,kelch13-p383-727,0.0,3080,0,5
barcode06,Pf3D7_11_v3,1294074,826,1294900,2850.939467312349,ama1-p74-384,97.57869249394672,2354876,806,5325
barcode06,Pf3D7_13_v3,1724567,1286,1725853,4205.524105754277,kelch13-p383-727,98.36702954898912,5408304,1265,8124
barcode07,Pf3D7_11_v3,1294074,826,1294900,2990.8813559322034,ama1-p74-384,97.57869249394672,2470468,806,5296
barcode07,Pf3D7_13_v3,1724567,1286,1725853,3587.203732503888,kelch13-p383-727,98.4447900466563,4613144,1266,6823
barcode08,Pf3D7_11_v3,1294074,826,1294900,2390.3607748184018,ama1-p74-384,97.57869249394672,1974438,806,4498
barcode08,Pf3D7_13_v3,1724567,1286,1725853,1767.3670295489892,kelch13-p383-727,98.28926905132192,2272834,1264,3454
barcode09,Pf3D7_11_v3,1294074,826,1294900,2601.3450363196125,ama1-p74-384,97.57869249394672,2148711,806,4829
barcode09,Pf3D7_13_v3,1724567,1286,1725853,2251.869362363919,kelch13-p383-727,98.28926905132192,2895904,1264,4612
barcode10,Pf3D7_11_v3,1294074,826,1294900,2907.446731234867,ama1-p74-384,97.57869249394672,2401551,806,5511
barcode10,Pf3D7_13_v3,1724567,1286,1725853,1861.8810264385693,kelch13-p383-727,98.21150855365474,2394379,1263,3757
barcode11,Pf3D7_11_v3,1294074,826,1294900,11133.285714285714,ama1-p74-384,97.82082324455206,9196094,808,19437
barcode11,Pf3D7_13_v3,1724567,1286,1725853,1283.6127527216174,kelch13-p383-727,97.97822706065318,1650726,1260,2694
barcode12,Pf3D7_11_v3,1294074,826,1294900,610.5544794188862,ama1-p74-384,97.09443099273608,504318,802,1093
barcode12,Pf3D7_13_v3,1724567,1286,1725853,1287.5062208398133,kelch13-p383-727,98.21150855365474,1655733,1263,2479
barcode13,Pf3D7_11_v3,1294074,826,1294900,2177.265133171913,ama1-p74-384,97.57869249394672,1798421,806,4229
barcode13,Pf3D7_13_v3,1724567,1286,1725853,3419.296267496112,kelch13-p383-727,98.36702954898912,4397215,1265,6520
barcode14,Pf3D7_11_v3,1294074,826,1294900,1459.8958837772398,ama1-p74-384,97.3365617433414,1205874,804,2832
barcode14,Pf3D7_13_v3,1724567,1286,1725853,726.0692068429238,kelch13-p383-727,97.97822706065318,933725,1260,1535
barcode15,Pf3D7_11_v3,1294074,826,1294900,2075.595641646489,ama1-p74-384,97.57869249394672,1714442,806,3958
barcode15,Pf3D7_13_v3,1724567,1286,1725853,2664.9323483670296,kelch13-p383-727,98.28926905132192,3427103,1264,5215
barcode16,Pf3D7_11_v3,1294074,826,1294900,3554.572639225182,ama1-p74-384,97.57869249394672,2936077,806,6658
barcode16,Pf3D7_13_v3,1724567,1286,1725853,5180.830482115086,kelch13-p383-727,98.4447900466563,6662548,1266,9889
barcode17,Pf3D7_11_v3,1294074,826,1294900,3827.0254237288136,ama1-p74-384,97.6997578692494,3161123,807,7222
barcode17,Pf3D7_13_v3,1724567,1286,1725853,2051.0171073094866,kelch13-p383-727,98.28926905132192,2637608,1264,3921
barcode18,Pf3D7_11_v3,1294074,826,1294900,2180.823244552058,ama1-p74-384,97.57869249394672,1801360,806,3814
barcode18,Pf3D7_13_v3,1724567,1286,1725853,501.6057542768274,kelch13-p383-727,97.97822706065318,645065,1260,988
barcode19,Pf3D7_11_v3,1294074,826,1294900,2695.0641646489103,ama1-p74-384,97.57869249394672,2226123,806,5242
barcode19,Pf3D7_13_v3,1724567,1286,1725853,3563.1951788491447,kelch13-p383-727,98.4447900466563,4582269,1266,6757
barcode20,Pf3D7_11_v3,1294074,826,1294900,1118.8462469733656,ama1-p74-384,97.3365617433414,924167,804,1959
barcode20,Pf3D7_13_v3,1724567,1286,1725853,1853.53265940902,kelch13-p383-727,98.28926905132192,2383643,1264,3593
barcode21,Pf3D7_11_v3,1294074,826,1294900,1548.0145278450364,ama1-p74-384,97.45762711864408,1278660,805,2740
barcode21,Pf3D7_13_v3,1724567,1286,1725853,3637.314930015552,kelch13-p383-727,98.4447900466563,4677587,1266,6668
barcode22,Pf3D7_11_v3,1294074,826,1294900,1336.1513317191284,ama1-p74-384,97.3365617433414,1103661,804,2481
barcode22,Pf3D7_13_v3,1724567,1286,1725853,2222.4712286158638,kelch13-p383-727,98.28926905132192,2858098,1264,4182
barcode23,Pf3D7_11_v3,1294074,826,1294900,2901.943099273608,ama1-p74-384,97.57869249394672,2397005,806,4977
barcode23,Pf3D7_13_v3,1724567,1286,1725853,4122.860808709176,kelch13-p383-727,98.4447900466563,5301999,1266,7642
barcode24,Pf3D7_11_v3,1294074,826,1294900,4122.282082324456,ama1-p74-384,97.6997578692494,3405005,807,7938
barcode24,Pf3D7_13_v3,1724567,1286,1725853,3457.1531881804044,kelch13-p383-727,98.4447900466563,4445899,1266,6443
barcode25,Pf3D7_11_v3,1294074,826,1294900,7322.983050847458,ama1-p74-384,97.6997578692494,6048784,807,15399
barcode25,Pf3D7_13_v3,1724567,1286,1725853,3455.01866251944,kelch13-p383-727,98.28926905132192,4443154,1264,6243
barcode26,Pf3D7_11_v3,1294074,826,1294900,1626.6004842615012,ama1-p74-384,97.57869249394672,1343572,806,2995
barcode26,Pf3D7_13_v3,1724567,1286,1725853,2615.022550544324,kelch13-p383-727,98.28926905132192,3362919,1264,5143
barcode27,Pf3D7_11_v3,1294074,826,1294900,2668.070217917676,ama1-p74-384,97.57869249394672,2203826,806,4870
barcode27,Pf3D7_13_v3,1724567,1286,1725853,3917.569206842924,kelch13-p383-727,98.36702954898912,5037994,1265,7090
barcode28,Pf3D7_11_v3,1294074,826,1294900,5000.439467312349,ama1-p74-384,97.6997578692494,4130363,807,9764
barcode28,Pf3D7_13_v3,1724567,1286,1725853,6971.305598755832,kelch13-p383-727,98.4447900466563,8965099,1266,13366
barcode29,Pf3D7_11_v3,1294074,826,1294900,1038.5205811138014,ama1-p74-384,97.3365617433414,857818,804,1993
barcode29,Pf3D7_13_v3,1724567,1286,1725853,1828.319595645412,kelch13-p383-727,98.28926905132192,2351219,1264,3495
barcode30,Pf3D7_11_v3,1294074,826,1294900,2836.7058111380147,ama1-p74-384,97.57869249394672,2343119,806,5442
barcode30,Pf3D7_13_v3,1724567,1286,1725853,3471.611197511664,kelch13-p383-727,98.28926905132192,4464492,1264,6563
barcode31,Pf3D7_11_v3,1294074,826,1294900,5163.372881355932,ama1-p74-384,97.6997578692494,4264946,807,9909
barcode31,Pf3D7_13_v3,1724567,1286,1725853,7345.216174183514,kelch13-p383-727,98.4447900466563,9445948,1266,13364
barcode32,Pf3D7_11_v3,1294074,826,1294900,3241.3728813559323,ama1-p74-384,97.6997578692494,2677374,807,5987
barcode32,Pf3D7_13_v3,1724567,1286,1725853,2100.793934681182,kelch13-p383-727,98.28926905132192,2701621,1264,4105
barcode33,Pf3D7_11_v3,1294074,826,1294900,2230.5205811138017,ama1-p74-384,97.57869249394672,1842410,806,3877
barcode33,Pf3D7_13_v3,1724567,1286,1725853,6682.286158631416,kelch13-p383-727,98.4447900466563,8593420,1266,12320
barcode34,Pf3D7_11_v3,1294074,826,1294900,1619.4273607748185,ama1-p74-384,97.45762711864408,1337647,805,2909
barcode34,Pf3D7_13_v3,1724567,1286,1725853,4412.575427682737,kelch13-p383-727,98.4447900466563,5674572,1266,8262
barcode35,Pf3D7_11_v3,1294074,826,1294900,3913.317191283293,ama1-p74-384,97.6997578692494,3232400,807,7313
barcode35,Pf3D7_13_v3,1724567,1286,1725853,2741.843701399689,kelch13-p383-727,98.28926905132192,3526011,1264,5232
barcode36,Pf3D7_11_v3,1294074,826,1294900,6114.439467312349,ama1-p74-384,97.6997578692494,5050527,807,10789
barcode36,Pf3D7_13_v3,1724567,1286,1725853,1714.0800933125972,kelch13-p383-727,98.21150855365474,2204307,1263,3111
barcode37,Pf3D7_11_v3,1294074,826,1294900,9317.179176755448,ama1-p74-384,97.82082324455206,7695990,808,17911
barcode37,Pf3D7_13_v3,1724567,1286,1725853,1932.2706065318816,kelch13-p383-727,98.21150855365474,2484900,1263,3500
barcode38,Pf3D7_11_v3,1294074,826,1294900,8946.01210653753,ama1-p74-384,97.6997578692494,7389406,807,17151
barcode38,Pf3D7_13_v3,1724567,1286,1725853,3068.4510108864697,kelch13-p383-727,98.28926905132192,3946028,1264,5762
barcode39,Pf3D7_11_v3,1294074,826,1294900,5604.87167070218,ama1-p74-384,97.6997578692494,4629624,807,10227
barcode39,Pf3D7_13_v3,1724567,1286,1725853,851.1780715396578,kelch13-p383-727,98.13374805598755,1094615,1262,1754
barcode40,Pf3D7_11_v3,1294074,826,1294900,5825.703389830508,ama1-p74-384,97.6997578692494,4812031,807,10077
barcode40,Pf3D7_13_v3,1724567,1286,1725853,2629.5816485225505,kelch13-p383-727,98.21150855365474,3381642,1263,4795
barcode41,Pf3D7_11_v3,1294074,826,1294900,1558.3002421307506,ama1-p74-384,97.45762711864408,1287156,805,2922
barcode41,Pf3D7_13_v3,1724567,1286,1725853,2056.531881804044,kelch13-p383-727,98.28926905132192,2644700,1264,3864
barcode42,Pf3D7_11_v3,1294074,826,1294900,1264.1113801452784,ama1-p74-384,97.45762711864408,1044156,805,2334
barcode42,Pf3D7_13_v3,1724567,1286,1725853,2626.0334370139967,kelch13-p383-727,98.28926905132192,3377079,1264,5046
barcode43,Pf3D7_11_v3,1294074,826,1294900,2622.5,ama1-p74-384,97.57869249394672,2166185,806,4869
